date : 2015-12-31
인프라웨어 041020 유동자산 26,165,826,378
인프라웨어 041020 현금및현금성자산 4,209,160,332
인프라웨어 041020 매출채권 3,234,980,852
인프라웨어 041020 기타유동자산 228,682,548
인프라웨어 041020 비유동자산 45,855,191,968
인프라웨어 041020 유형자산 1,468,914,338
인프라웨어 041020 무형자산 1,342,972,502
인프라웨어 041020 이연법인세자산 988,154,030
인프라웨어 041020 자산총계 72,021,018,346
인프라웨어 041020 유동부채 5,676,162,954
인프라웨어 041020 기타유동부채 333,527,908
인프라웨어 041020 당기법인세부채 0
인프라웨어 041020 비유동부채 1,538,571,545
인프라웨어 041020 부채총계 7,214,734,499
인프라웨어 041020 자본금 9,309,080,000
인프라웨어 041020 이익잉여금(결손금) -3,231,849,296
인프라웨어 041020 자본총계 64,806,283,847
인프라웨어 041020 자본과부채총계 72,021,018,346
date : 2016-03-31
인프라웨어 041020 유동자산 23,988,437,338
인프라웨어 041020 현금및현금성자산 2,201,677,491
인프라웨어 041020 매출채권 4,632,919,896
인프라웨어 041020 기타유동자산 345,248,349
인프라웨어 041020 비유동자산 44,447,959,381
인프라웨어 041020 유형자산 1,225,901,719
인프라웨어 041020 무형자산 979,609,130
인프라웨어 041020 이연법인세자산 659,471,183
인프라웨어 041020 자산총계 68,436,396,719
인프라웨어 041020 유동부채 5,208,979,600
인프라웨어 041020 기타유동부채 97,336,638
인프라웨어 041020 당기법인세부채 0
인프라웨어 041020 비유동부채 2,458,088,986
인프라웨어 041020 부채총계 7,667,068,586
인프라웨어 041020 자본금 9,309,080,000
인프라웨어 041020 이익잉여금(결손금) -7,268,805,010
인프라웨어 041020 자본총계 60,769,328,133
인프라웨어 041020 자본과부채총계 68,436,396,719
date : 2016-06-30
인프라웨어 041020 유동자산 19,962,115,921
인프라웨어 041020 현금및현금성자산 5,277,905,760
인프라웨어 041020 매출채권 4,071,031,646
인프라웨어 041020 기타유동자산 185,918,140
인프라웨어 041020 비유동자산 43,350,340,071
인프라웨어 041020 유형자산 1,016,994,818
인프라웨어 041020 무형자산 619,266,140
인프라웨어 041020 이연법인세자산 0
인프라웨어 041020 자산총계 63,312,455,992
인프라웨어 041020 유동부채 5,437,929,062
인프라웨어 041020 단기차입금 500,000,000
