date : 2015-12-31
하이트론씨스템즈 019490 유동자산 25,546,193,538
하이트론씨스템즈 019490 현금및현금성자산 1,552,925,092
하이트론씨스템즈 019490 현금및현금성자산 1,630,325,092
하이트론씨스템즈 019490 매출채권 13,872,163,031
하이트론씨스템즈 019490 기타유동자산 705,502,463
하이트론씨스템즈 019490 재고자산 11,168,883,857
하이트론씨스템즈 019490 비유동자산 28,106,327,996
하이트론씨스템즈 019490 유형자산 23,680,023,110
하이트론씨스템즈 019490 무형자산 201,315,300
하이트론씨스템즈 019490 기타비유동자산 44,855,650
하이트론씨스템즈 019490 자산총계 53,652,521,534
하이트론씨스템즈 019490 유동부채 10,777,899,350
하이트론씨스템즈 019490 단기차입금 3,001,599,780
하이트론씨스템즈 019490 기타유동부채 634,336,997
하이트론씨스템즈 019490 당기법인세부채 0
하이트론씨스템즈 019490 비유동부채 4,815,995,277
하이트론씨스템즈 019490 부채총계 15,593,894,627
하이트론씨스템즈 019490 자본금 13,826,837,500
하이트론씨스템즈 019490 자본잉여금 34,676,561,082
하이트론씨스템즈 019490 자본조정 -17,190,137,862
하이트론씨스템즈 019490 기타포괄손익누계액 -841,423,400
하이트론씨스템즈 019490 자본총계 38,058,626,907
하이트론씨스템즈 019490 자본과부채총계 53,652,521,534
date : 2016-03-31
하이트론씨스템즈 019490 유동자산 33,304,784,127
하이트론씨스템즈 019490 현금및현금성자산 6,804,328,945
하이트론씨스템즈 019490 현금및현금성자산 6,881,728,945
하이트론씨스템즈 019490 매출채권 13,804,252,585
하이트론씨스템즈 019490 기타유동자산 1,038,969,890
하이트론씨스템즈 019490 재고자산 11,890,880,891
하이트론씨스템즈 019490 비유동자산 25,237,830,476
하이트론씨스템즈 019490 유형자산 20,764,129,590
하이트론씨스템즈 019490 무형자산 201,315,300
하이트론씨스템즈 019490 기타비유동자산 93,251,650
하이트론씨스템즈 019490 매각예정비유동자산 3,241,897,394
하이트론씨스템즈 019490 자산총계 61,784,511,997
하이트론씨스템즈 019490 유동부채 19,701,540,529
하이트론씨스템즈 019490 단기차입금 4,042,838,165
하이트론씨스템즈 019490 기타유동부채 8,234,922,454
하이트론씨스템즈 019490 비유동부채 4,814,276,978
하이트론씨스템즈 019490 부채총계 24,515,817,507
하이트론씨스템즈 019490 자본금 13,826,837,500
하이트론씨스템즈 019490 자본잉여금 34,676,561,082
하이트론씨스템즈 019490 자본조정 -15,818,469,784
하이트론씨스템즈 019490 기타포괄손익누계액 -841,666,688
하이트론씨스템즈 019490 자본총계 37,268,694,490
하이트론씨스템즈 019490 자본과부채총계 61,784,511,997
date : 2016-06-30
하이트론씨스템즈 019490 유동자산 34,342,430,474
하이트론씨스템즈 019490 현금및현금성자산 2,408,154,529
하이트론씨스템즈 019490 현금및현금성자산 2,485,554,529
하이트론씨스템즈 019490 매출채권 14,721,370,275
하이트론씨스템즈 019490 기타유동자산 480,327,892
하이트론씨스템즈 019490 재고자산 11,581,441,787
하이트론씨스템즈 019490 비유동자산 25,727,177,516
하이트론씨스템즈 019490 유형자산 20,903,976,630
하이트론씨스템즈 019490 무형자산 201,315,300
하이트론씨스템즈 019490 기타비유동자산 442,751,650
하이트론씨스템즈 019490 자산총계 60,069,607,990
하이트론씨스템즈 019490 유동부채 9,069,275,994
하이트론씨스템즈 019490 단기차입금 61,759,557
하이트론씨스템즈 019490 기타유동부채 932,379,440
하이트론씨스템즈 019490 비유동부채 4,582,103,724
하이트론씨스템즈 019490 부채총계 13,651,379,718
하이트론씨스템즈 019490 자본금 13,826,837,500
하이트론씨스템즈 019490 자본잉여금 34,676,561,082
하이트론씨스템즈 019490 자본조정 -14,871,419,784
하이트론씨스템즈 019490 기타포괄손익누계액 -841,907,651
하이트론씨스템즈 019490 자본총계 46,418,228,272
하이트론씨스템즈 019490 자본과부채총계 60,069,607,990
date : 2016-09-30
하이트론씨스템즈 019490 유동자산 35,162,018,914
하이트론씨스템즈 019490 현금및현금성자산 4,087,651,260
하이트론씨스템즈 019490 현금및현금성자산 4,165,051,260
하이트론씨스템즈 019490 매출채권 12,768,568,804
하이트론씨스템즈 019490 기타유동자산 992,529,774
하이트론씨스템즈 019490 재고자산 12,914,572,063
하이트론씨스템즈 019490 비유동자산 25,543,755,859
하이트론씨스템즈 019490 유형자산 20,710,554,973
하이트론씨스템즈 019490 무형자산 201,315,300
하이트론씨스템즈 019490 기타비유동자산 452,751,650
하이트론씨스템즈 019490 자산총계 60,705,774,773
하이트론씨스템즈 019490 유동부채 12,202,715,056
하이트론씨스템즈 019490 단기차입금 2,140,140,029
하이트론씨스템즈 019490 기타유동부채 1,180,795,923
하이트론씨스템즈 019490 비유동부채 4,406,466,709
하이트론씨스템즈 019490 부채총계 16,609,181,765
하이트론씨스템즈 019490 자본금 13,826,837,500
하이트론씨스템즈 019490 자본잉여금 34,676,561,082
하이트론씨스템즈 019490 자본조정 -14,871,419,784
하이트론씨스템즈 019490 기타포괄손익누계액 -842,141,029
하이트론씨스템즈 019490 자본총계 44,096,593,008
하이트론씨스템즈 019490 자본과부채총계 60,705,774,773
date : 2016-12-31
