date : 2015-12-31
한네트 052600 유동자산 46,718,158,676
한네트 052600 현금및현금성자산 43,326,946,280
한네트 052600 매출채권 2,055,835,913
한네트 052600 기타유동자산 193,819,917
한네트 052600 재고자산 26,004,600
한네트 052600 비유동자산 24,360,294,501
한네트 052600 장기금융상품 200,490,883
한네트 052600 기타비유동자산 40,374,036
한네트 052600 유형자산 17,109,304,568
한네트 052600 무형자산 97,653,223
한네트 052600 이연법인세자산 417,460,750
한네트 052600 자산총계 71,078,453,177
한네트 052600 유동부채 15,943,139,737
한네트 052600 단기차입금 11,799,050,567
한네트 052600 유동성장기차입금 415,722,315
한네트 052600 당기법인세부채 126,179,777
한네트 052600 기타유동부채 220,129,568
한네트 052600 비유동부채 19,163,075,623
한네트 052600 장기차입금 17,625,096,205
한네트 052600 부채총계 35,106,215,360
한네트 052600 자본금 5,781,850,000
한네트 052600 자본잉여금 5,594,213,573
한네트 052600 기타포괄손익누계액 -5,845,829
한네트 052600 자본총계 35,972,237,817
date : 2016-03-31
한네트 052600 유동자산 46,681,144,370
한네트 052600 현금및현금성자산 43,564,442,559
한네트 052600 매출채권 1,877,112,073
한네트 052600 기타유동자산 244,439,760
한네트 052600 재고자산 21,004,600
한네트 052600 비유동자산 24,131,188,737
한네트 052600 장기금융상품 286,871,590
한네트 052600 기타비유동자산 32,134,677
한네트 052600 유형자산 16,806,782,409
한네트 052600 무형자산 92,738,780
한네트 052600 이연법인세자산 425,103,500
한네트 052600 자산총계 70,812,333,107
한네트 052600 유동부채 16,555,278,285
한네트 052600 단기차입금 11,365,678,687
한네트 052600 유동성장기차입금 453,515,220
한네트 052600 당기법인세부채 188,918,436
한네트 052600 기타유동부채 1,636,521,098
한네트 052600 비유동부채 19,104,799,216
한네트 052600 장기차입금 17,511,717,400
한네트 052600 부채총계 35,660,077,501
한네트 052600 자본금 5,781,850,000
한네트 052600 자본잉여금 5,594,213,573
한네트 052600 기타포괄손익누계액 6,920,581
한네트 052600 자본총계 35,152,255,606
date : 2016-06-30
한네트 052600 유동자산 50,677,554,092
한네트 052600 현금및현금성자산 47,155,497,853
한네트 052600 매출채권 2,356,786,830
한네트 052600 기타유동자산 185,732,226
한네트 052600 재고자산 9,687,200
한네트 052600 비유동자산 23,861,924,766
한네트 052600 장기금융상품 373,252,297
한네트 052600 기타비유동자산 23,899,894
한네트 052600 유형자산 16,485,824,792
한네트 052600 무형자산 85,313,904
한네트 052600 이연법인세자산 415,013,373
한네트 052600 자산총계 74,539,478,858
한네트 052600 유동부채 19,540,527,699
한네트 052600 단기차입금 15,564,137,272
한네트 052600 유동성장기차입금 453,515,220
한네트 052600 당기법인세부채 310,891,651
한네트 052600 기타유동부채 304,039,905
한네트 052600 비유동부채 18,993,441,323
한네트 052600 장기차입금 17,398,338,595
한네트 052600 부채총계 38,533,969,022
한네트 052600 자본금 5,781,850,000
한네트 052600 자본잉여금 5,594,213,573
한네트 052600 기타포괄손익누계액 -5,839,989
한네트 052600 자본총계 36,005,509,836
한네트 052600 자본과부채총계 74,539,478,858
date : 2016-09-30
한네트 052600 유동자산 50,052,814,339
한네트 052600 현금및현금성자산 47,632,468,804
한네트 052600 매출채권 1,978,884,593
한네트 052600 기타유동자산 196,313,254
한네트 052600 재고자산 4,597,000
한네트 052600 비유동자산 23,435,216,208
한네트 052600 장기금융상품 459,633,004
한네트 052600 기타비유동자산 15,608,786
한네트 052600 유형자산 16,002,357,192
한네트 052600 무형자산 84,567,778
