date : 2015-12-31
대우조선해양 042660 유동자산 9,343,707,242,202
대우조선해양 042660 현금및현금성자산 1,072,187,331,380
대우조선해양 042660 재고자산 1,737,936,760,818
대우조선해양 042660 기타유동자산 1,347,093,605,366
대우조선해양 042660 비유동자산 7,731,284,362,856
대우조선해양 042660 장기금융상품 27,000,000
대우조선해양 042660 유형자산 4,799,289,160,570
대우조선해양 042660 무형자산 40,030,475,928
대우조선해양 042660 이연법인세자산 1,419,954,000,000
대우조선해양 042660 기타비유동자산 132,048,259,860
대우조선해양 042660 자산총계 17,074,991,605,058
대우조선해양 042660 유동부채 14,141,749,001,987
대우조선해양 042660 단기차입금 3,161,635,162,425
대우조선해양 042660 유동성장기차입금 1,056,408,063,260
대우조선해양 042660 기타유동부채 68,130,730,373
대우조선해양 042660 비유동부채 2,518,000,128,628
대우조선해양 042660 사채 186,571,181,025
대우조선해양 042660 장기차입금 1,415,351,520,152
대우조선해양 042660 이연법인세부채 0
대우조선해양 042660 부채총계 16,659,749,130,615
대우조선해양 042660 자본금 1,372,076,840,000
대우조선해양 042660 이익잉여금(결손금) -1,381,509,654,957
대우조선해양 042660 자본총계 415,242,474,443
date : 2016-03-31
대우조선해양 042660 유동자산 10,036,610,891,098
대우조선해양 042660 현금및현금성자산 1,078,302,202,277
대우조선해양 042660 재고자산 1,693,529,618,664
대우조선해양 042660 기타유동자산 1,415,040,465,152
대우조선해양 042660 비유동자산 7,454,964,415,042
대우조선해양 042660 장기금융상품 27,000,000
대우조선해양 042660 유형자산 4,778,078,562,193
대우조선해양 042660 무형자산 41,153,238,799
대우조선해양 042660 이연법인세자산 1,412,905,511,630
대우조선해양 042660 기타비유동자산 118,570,840,547
대우조선해양 042660 자산총계 17,491,575,306,140
대우조선해양 042660 유동부채 14,692,806,629,450
대우조선해양 042660 단기차입금 4,095,541,574,858
대우조선해양 042660 유동성장기차입금 1,277,563,850,760
대우조선해양 042660 기타유동부채 82,635,767,245
대우조선해양 042660 비유동부채 2,207,263,628,529
대우조선해양 042660 사채 188,017,597,044
대우조선해양 042660 장기차입금 1,161,943,276,892
대우조선해양 042660 부채총계 16,900,070,257,979
대우조선해양 042660 자본금 1,372,076,840,000
대우조선해양 042660 이익잉여금(결손금) -1,201,923,663,652
대우조선해양 042660 자본총계 591,505,048,161
date : 2016-06-30
대우조선해양 042660 유동자산 9,682,129,088,013
대우조선해양 042660 현금및현금성자산 1,218,898,965,111
대우조선해양 042660 재고자산 1,612,005,168,650
대우조선해양 042660 기타유동자산 1,150,461,958,654
대우조선해양 042660 비유동자산 5,912,551,851,017
대우조선해양 042660 장기금융상품 25,500,000
대우조선해양 042660 유형자산 4,522,676,092,531
대우조선해양 042660 무형자산 41,332,413,749
대우조선해양 042660 이연법인세자산 286,956,785,949
대우조선해양 042660 기타비유동자산 112,848,501,310
대우조선해양 042660 자산총계 15,594,680,939,030
대우조선해양 042660 유동부채 14,592,441,971,036
대우조선해양 042660 단기차입금 4,464,883,221,190
대우조선해양 042660 유동성장기차입금 1,055,959,113,160
대우조선해양 042660 기타유동부채 84,859,231,412
대우조선해양 042660 비유동부채 2,230,646,780,664
대우조선해양 042660 사채 189,475,226,581
대우조선해양 042660 장기차입금 1,164,999,276,892
