date : 2015-12-31
아이진 185490 유동자산 23,518,708,769
아이진 185490 현금및현금성자산 5,864,219,688
아이진 185490 매출채권 2,057,000
아이진 185490 기타유동금융자산 204,441,802
아이진 185490 기타유동자산 9,602,619
아이진 185490 비유동자산 809,566,669
아이진 185490 기타비유동금융자산 156,460,560
아이진 185490 기타비유동자산 28,000,000
아이진 185490 유형자산 337,405,837
아이진 185490 무형자산 315,700,272
아이진 185490 자산총계 24,328,275,438
아이진 185490 유동부채 1,075,076,785
아이진 185490 기타유동부채 866,844,651
아이진 185490 비유동부채 490,405,884
아이진 185490 부채총계 1,565,482,669
아이진 185490 자본금 5,000,000,000
아이진 185490 기타포괄손익누계액 6,197,121
아이진 185490 자본총계 22,762,792,769
아이진 185490 자본과부채총계 24,328,275,438
date : 2016-03-31
아이진 185490 유동자산 22,517,745,360
아이진 185490 현금및현금성자산 9,954,615,070
아이진 185490 매출채권 220,880,000
아이진 185490 기타유동금융자산 205,398,290
아이진 185490 기타유동자산 2,100,000
아이진 185490 비유동자산 852,315,857
아이진 185490 기타비유동금융자산 156,460,560
아이진 185490 기타비유동자산 0
아이진 185490 유형자산 354,429,654
아이진 185490 무형자산 341,425,643
아이진 185490 자산총계 23,370,061,217
아이진 185490 유동부채 837,457,004
아이진 185490 기타유동부채 655,625,171
아이진 185490 비유동부채 555,093,051
아이진 185490 부채총계 1,392,550,055
아이진 185490 자본금 5,005,500,000
아이진 185490 기타포괄손익누계액 6,197,121
아이진 185490 자본총계 21,977,511,162
아이진 185490 자본과부채총계 23,370,061,217
date : 2016-06-30
아이진 185490 유동자산 20,667,484,142
아이진 185490 현금및현금성자산 8,348,670,274
아이진 185490 매출채권 2,057,000
아이진 185490 기타유동금융자산 186,992,810
아이진 185490 기타유동자산 2,100,000
아이진 185490 비유동자산 1,269,138,148
아이진 185490 기타비유동금융자산 156,460,560
아이진 185490 기타비유동자산 0
아이진 185490 유형자산 443,485,971
아이진 185490 무형자산 367,191,617
아이진 185490 자산총계 21,936,622,290
아이진 185490 유동부채 905,188,954
아이진 185490 기타유동부채 666,248,053
아이진 185490 비유동부채 693,412,172
아이진 185490 부채총계 1,598,601,126
아이진 185490 자본금 5,013,500,000
아이진 185490 기타포괄손익누계액 6,197,121
아이진 185490 자본총계 20,338,021,164
아이진 185490 자본과부채총계 21,936,622,290
date : 2016-09-30
아이진 185490 유동자산 18,101,932,971
아이진 185490 현금및현금성자산 1,733,680,559
아이진 185490 매출채권 2,057,000
아이진 185490 기타유동금융자산 228,969,144
아이진 185490 기타유동자산 175,000
아이진 185490 비유동자산 1,795,246,862
아이진 185490 기타비유동금융자산 659,582,720
아이진 185490 기타비유동자산 0
아이진 185490 유형자산 460,442,151
아이진 185490 무형자산 370,221,991
아이진 185490 자산총계 19,897,179,833
아이진 185490 유동부채 687,747,655
아이진 185490 기타유동부채 333,606,465
아이진 185490 비유동부채 752,122,292
아이진 185490 부채총계 1,439,869,947
아이진 185490 자본금 5,013,500,000
아이진 185490 기타포괄손익누계액 6,197,121
아이진 185490 자본총계 18,457,309,886
아이진 185490 자본과부채총계 19,897,179,833
date : 2016-12-31
아이진 185490 유동자산 13,210,157,977
아이진 185490 현금및현금성자산 782,185,528
아이진 185490 매출채권 2,057,000
아이진 185490 기타유동금융자산 274,944,399
아이진 185490 기타유동자산 831,190
아이진 185490 비유동자산 5,346,450,011
아이진 185490 기타비유동금융자산 565,340,000
아이진 185490 기타비유동자산 0
아이진 185490 유형자산 1,559,296,721
아이진 185490 무형자산 413,799,290
아이진 185490 자산총계 18,556,607,988
아이진 185490 유동부채 1,163,495,838
아이진 185490 기타유동부채 632,261,980
아이진 185490 비유동부채 1,208,000,253
아이진 185490 부채총계 2,371,496,091
아이진 185490 자본금 5,018,500,000
아이진 185490 기타포괄손익누계액 6,197,121
아이진 185490 자본총계 16,185,111,897
아이진 185490 자본과부채총계 18,556,607,988
date : 2017-03-31
아이진 185490 유동자산 11,975,979,032
아이진 185490 현금및현금성자산 1,601,021,605
아이진 185490 매출채권 2,057,000
아이진 185490 기타유동금융자산 204,335,467
아이진 185490 기타유동자산 12,883,190
아이진 185490 비유동자산 5,342,607,560
아이진 185490 기타비유동금융자산 565,340,000
