date : 2015-12-31
휴림스 051980 유동자산 17,845,211,702
휴림스 051980 현금및현금성자산 10,165,789,974
휴림스 051980 매출채권 3,646,972,408
휴림스 051980 기타유동자산 2,548,454
휴림스 051980 재고자산 3,910,328,374
휴림스 051980 비유동자산 8,526,386,723
휴림스 051980 유형자산 2,744,306,651
휴림스 051980 무형자산 406,089,679
휴림스 051980 이연법인세자산 0
휴림스 051980 자산총계 26,371,598,425
휴림스 051980 유동부채 14,692,119,069
휴림스 051980 단기차입금 10,126,796,877
휴림스 051980 기타유동부채 185,970,870
휴림스 051980 비유동부채 1,683,420,235
휴림스 051980 장기차입금 142,850,000
휴림스 051980 부채총계 16,375,539,304
휴림스 051980 자본금 9,474,935,000
휴림스 051980 자본잉여금 3,789,354,031
휴림스 051980 자본총계 9,996,059,121
휴림스 051980 자본과부채총계 26,371,598,425
date : 2016-03-31
휴림스 051980 유동자산 16,080,346,500
휴림스 051980 현금및현금성자산 10,442,709,260
휴림스 051980 매출채권 2,091,090,530
휴림스 051980 기타유동자산 63,220,145
휴림스 051980 재고자산 3,162,138,665
휴림스 051980 비유동자산 8,329,270,505
휴림스 051980 유형자산 2,338,491,984
휴림스 051980 무형자산 393,227,026
휴림스 051980 이연법인세자산 1,977,872,857
휴림스 051980 자산총계 24,409,617,005
휴림스 051980 유동부채 12,766,385,224
휴림스 051980 단기차입금 10,284,601,283
휴림스 051980 기타유동부채 136,442,217
휴림스 051980 비유동부채 1,745,494,132
휴림스 051980 장기차입금 142,850,000
휴림스 051980 부채총계 14,511,879,356
휴림스 051980 자본금 9,474,935,000
휴림스 051980 자본잉여금 3,789,354,031
휴림스 051980 이익잉여금(결손금) -1,967,723,182
휴림스 051980 자본총계 9,897,737,649
휴림스 051980 자본과부채총계 24,409,617,005
date : 2016-06-30
넥스트바이오홀딩스 051980 유동자산 7,566,630,782
넥스트바이오홀딩스 051980 현금및현금성자산 2,394,853,642
넥스트바이오홀딩스 051980 매출채권 4,572,302,777
넥스트바이오홀딩스 051980 기타유동자산 24,759,150
넥스트바이오홀딩스 051980 재고자산 389,508,930
넥스트바이오홀딩스 051980 비유동자산 16,382,388,541
넥스트바이오홀딩스 051980 유형자산 387,216,339
넥스트바이오홀딩스 051980 무형자산 380,221,243
넥스트바이오홀딩스 051980 이연법인세자산 0
넥스트바이오홀딩스 051980 자산총계 23,949,019,323
넥스트바이오홀딩스 051980 유동부채 13,588,492,472
넥스트바이오홀딩스 051980 단기차입금 10,289,932,441
넥스트바이오홀딩스 051980 기타유동부채 120,957,422
넥스트바이오홀딩스 051980 비유동부채 233,085,558
넥스트바이오홀딩스 051980 장기차입금 0
넥스트바이오홀딩스 051980 부채총계 13,821,578,030
넥스트바이오홀딩스 051980 자본금 9,474,935,000
넥스트바이오홀딩스 051980 자본잉여금 3,789,354,031
넥스트바이오홀딩스 051980 이익잉여금(결손금) -1,738,019,538
넥스트바이오홀딩스 051980 자본총계 10,127,441,293
넥스트바이오홀딩스 051980 자본과부채총계 23,949,019,323
date : 2016-09-30
넥스트바이오홀딩스 051980 유동자산 7,146,776,093
넥스트바이오홀딩스 051980 현금및현금성자산 984,953,057
넥스트바이오홀딩스 051980 매출채권 3,235,442,090
넥스트바이오홀딩스 051980 기타유동자산 91,328,805
넥스트바이오홀딩스 051980 재고자산 499,508,930
넥스트바이오홀딩스 051980 비유동자산 16,771,095,629
넥스트바이오홀딩스 051980 유형자산 577,887,115
넥스트바이오홀딩스 051980 무형자산 365,811,420
넥스트바이오홀딩스 051980 이연법인세자산 0
넥스트바이오홀딩스 051980 자산총계 23,917,871,722
넥스트바이오홀딩스 051980 유동부채 9,489,823,465
넥스트바이오홀딩스 051980 단기차입금 7,585,700,000
넥스트바이오홀딩스 051980 기타유동부채 101,317,820
넥스트바이오홀딩스 051980 비유동부채 237,241,797
넥스트바이오홀딩스 051980 장기차입금 0
넥스트바이오홀딩스 051980 부채총계 9,727,065,262
넥스트바이오홀딩스 051980 자본금 10,046,885,000
넥스트바이오홀딩스 051980 자본잉여금 8,533,754,137
넥스트바이오홀딩스 051980 이익잉여금(결손금) -2,671,441,271
넥스트바이오홀딩스 051980 자본총계 14,190,806,460
넥스트바이오홀딩스 051980 자본과부채총계 23,917,871,722
date : 2016-12-31
넥스트바이오홀딩스 051980 유동자산 9,264,541,526
넥스트바이오홀딩스 051980 현금및현금성자산 4,509,455,111
넥스트바이오홀딩스 051980 매출채권 2,115,459,623
넥스트바이오홀딩스 051980 기타유동자산 310,970,342
넥스트바이오홀딩스 051980 재고자산 131,000,000
넥스트바이오홀딩스 051980 비유동자산 8,532,891,863
넥스트바이오홀딩스 051980 유형자산 563,460,454
넥스트바이오홀딩스 051980 무형자산 7,820,240
넥스트바이오홀딩스 051980 이연법인세자산 1,977,872,857
넥스트바이오홀딩스 051980 자산총계 17,797,433,389
넥스트바이오홀딩스 051980 유동부채 5,887,783,747
넥스트바이오홀딩스 051980 기타유동부채 225,846,143
넥스트바이오홀딩스 051980 비유동부채 28,787,870
넥스트바이오홀딩스 051980 부채총계 5,916,571,617
넥스트바이오홀딩스 051980 자본금 10,046,885,000
넥스트바이오홀딩스 051980 자본잉여금 8,896,809,539
넥스트바이오홀딩스 051980 이익잉여금(결손금) -5,211,654,154
넥스트바이오홀딩스 051980 자본총계 11,880,861,772
넥스트바이오홀딩스 051980 자본과부채총계 17,797,433,389
date : 2017-03-31
넥스트바이오홀딩스 051980 유동자산 7,929,861,463
넥스트바이오홀딩스 051980 현금및현금성자산 4,454,511,406
넥스트바이오홀딩스 051980 매출채권 1,437,401,639
넥스트바이오홀딩스 051980 기타유동자산 10,802,870
넥스트바이오홀딩스 051980 재고자산 72,146,191
넥스트바이오홀딩스 051980 비유동자산 8,722,181,444
넥스트바이오홀딩스 051980 유형자산 504,055,568
넥스트바이오홀딩스 051980 무형자산 7,425,779
