date : 2015-12-31
금호에이치티 214330 유동자산 80,694,019,712
금호에이치티 214330 현금및현금성자산 163,456,587
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 20,906,518,990
금호에이치티 214330 기타유동자산 1,950,302,033
금호에이치티 214330 비유동자산 28,673,019,986
금호에이치티 214330 유형자산 25,050,360,594
금호에이치티 214330 이연법인세자산 536,766,113
금호에이치티 214330 자산총계 109,367,039,698
금호에이치티 214330 유동부채 24,870,413,077
금호에이치티 214330 당기법인세부채 2,783,260,301
금호에이치티 214330 기타유동부채 1,174,544,006
금호에이치티 214330 비유동부채 2,379,332,322
금호에이치티 214330 이연법인세부채 0
금호에이치티 214330 부채총계 27,249,745,399
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,287,382,746
금호에이치티 214330 자본총계 82,117,294,299
금호에이치티 214330 자본과부채총계 109,367,039,698
date : 2016-03-31
금호에이치티 214330 유동자산 88,421,638,944
금호에이치티 214330 현금및현금성자산 4,800,191,865
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 22,514,198,060
금호에이치티 214330 기타유동자산 3,744,871,656
금호에이치티 214330 비유동자산 33,854,419,190
금호에이치티 214330 유형자산 30,329,904,970
금호에이치티 214330 이연법인세자산 536,766,113
금호에이치티 214330 자산총계 122,276,058,134
금호에이치티 214330 유동부채 33,247,196,087
금호에이치티 214330 당기법인세부채 2,405,845,567
금호에이치티 214330 기타유동부채 942,669,173
금호에이치티 214330 비유동부채 5,257,005,271
금호에이치티 214330 이연법인세부채 0
금호에이치티 214330 부채총계 38,504,201,358
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,287,382,746
금호에이치티 214330 자본총계 83,771,856,776
금호에이치티 214330 자본과부채총계 122,276,058,134
date : 2016-06-30
금호에이치티 214330 유동자산 89,489,328,343
금호에이치티 214330 현금및현금성자산 2,773,525,169
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 23,574,890,481
금호에이치티 214330 기타유동자산 4,796,599,066
금호에이치티 214330 비유동자산 59,927,412,487
금호에이치티 214330 유형자산 55,317,521,502
금호에이치티 214330 이연법인세자산 459,020,026
금호에이치티 214330 자산총계 149,416,740,830
금호에이치티 214330 유동부채 38,207,671,487
금호에이치티 214330 당기법인세부채 1,516,150,316
금호에이치티 214330 기타유동부채 791,135,045
금호에이치티 214330 비유동부채 24,459,855,368
금호에이치티 214330 이연법인세부채 0
금호에이치티 214330 부채총계 62,667,526,855
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 86,749,213,975
금호에이치티 214330 자본과부채총계 149,416,740,830
date : 2016-09-30
금호에이치티 214330 유동자산 88,016,510,679
금호에이치티 214330 현금및현금성자산 4,921,805,438
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 23,718,261,664
금호에이치티 214330 기타유동자산 2,724,819,387
금호에이치티 214330 비유동자산 59,132,291,008
금호에이치티 214330 유형자산 54,315,273,900
금호에이치티 214330 이연법인세자산 459,020,026
금호에이치티 214330 자산총계 147,148,801,687
금호에이치티 214330 유동부채 36,025,258,616
금호에이치티 214330 당기법인세부채 2,115,144,316
금호에이치티 214330 기타유동부채 1,882,473,784
금호에이치티 214330 비유동부채 22,032,868,351
금호에이치티 214330 이연법인세부채 0
금호에이치티 214330 부채총계 58,058,126,967
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 89,090,674,720
금호에이치티 214330 자본과부채총계 147,148,801,687
date : 2016-12-31
금호에이치티 214330 유동자산 92,744,392,380
금호에이치티 214330 현금및현금성자산 3,023,867,575
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 20,950,659,173
금호에이치티 214330 기타유동자산 1,808,502,097
금호에이치티 214330 비유동자산 59,042,582,292
금호에이치티 214330 유형자산 52,902,193,975
금호에이치티 214330 이연법인세자산 800,839,682
금호에이치티 214330 자산총계 151,786,974,672
금호에이치티 214330 유동부채 38,336,001,892
금호에이치티 214330 당기법인세부채 2,585,355,132
금호에이치티 214330 기타유동부채 1,363,972,013
금호에이치티 214330 비유동부채 20,736,742,568
금호에이치티 214330 부채총계 59,072,744,460
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 92,714,230,212
금호에이치티 214330 자본과부채총계 151,786,974,672
date : 2017-03-31
금호에이치티 214330 유동자산 95,333,691,319
금호에이치티 214330 현금및현금성자산 5,237,949,987
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 21,640,683,949
금호에이치티 214330 기타유동자산 3,087,818,816
금호에이치티 214330 비유동자산 58,209,604,256
금호에이치티 214330 유형자산 52,036,682,143
금호에이치티 214330 이연법인세자산 805,406,048
금호에이치티 214330 자산총계 153,543,295,575
금호에이치티 214330 유동부채 42,887,565,374
금호에이치티 214330 당기법인세부채 1,704,828,599
금호에이치티 214330 기타유동부채 1,833,569,785
금호에이치티 214330 비유동부채 18,058,951,762
금호에이치티 214330 부채총계 60,946,517,136
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 92,596,778,439
금호에이치티 214330 자본과부채총계 153,543,295,575
date : 2017-06-30
금호에이치티 214330 유동자산 90,630,409,546
금호에이치티 214330 현금및현금성자산 1,266,221,946
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 22,738,311,254
금호에이치티 214330 기타유동자산 3,408,680,673
금호에이치티 214330 비유동자산 57,356,650,117
금호에이치티 214330 유형자산 50,804,427,863
금호에이치티 214330 이연법인세자산 1,133,602,394
금호에이치티 214330 자산총계 147,987,059,663
금호에이치티 214330 유동부채 36,863,557,182
금호에이치티 214330 당기법인세부채 1,354,700,550
금호에이치티 214330 기타유동부채 2,741,883,898
금호에이치티 214330 비유동부채 16,355,580,096
금호에이치티 214330 부채총계 53,219,137,278
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 94,767,922,385
금호에이치티 214330 자본과부채총계 147,987,059,663
date : 2017-09-30
금호에이치티 214330 유동자산 88,983,036,813
금호에이치티 214330 현금및현금성자산 2,815,795,823
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 23,687,054,510
금호에이치티 214330 기타유동자산 3,993,354,289
금호에이치티 214330 비유동자산 57,111,651,188
금호에이치티 214330 유형자산 49,552,817,649
금호에이치티 214330 기타비유동금융자산 6,017,957
금호에이치티 214330 이연법인세자산 1,138,595,043
금호에이치티 214330 자산총계 146,094,688,001
금호에이치티 214330 유동부채 35,249,254,073
금호에이치티 214330 단기매입채무 7,067,091,741
금호에이치티 214330 단기차입금 18,951,050,000
금호에이치티 214330 당기법인세부채 1,978,437,550
금호에이치티 214330 기타유동부채 2,990,778,396
금호에이치티 214330 비유동부채 13,971,460,254
금호에이치티 214330 부채총계 49,220,714,327
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 96,873,973,674
금호에이치티 214330 자본과부채총계 146,094,688,001
date : 2017-12-31
금호에이치티 214330 유동자산 89,724,027,459
금호에이치티 214330 현금및현금성자산 315,186,842
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 21,605,543,533
금호에이치티 214330 기타유동자산 5,599,981,897
금호에이치티 214330 비유동자산 56,683,294,007
금호에이치티 214330 유형자산 48,127,081,825
금호에이치티 214330 이연법인세자산 829,464,171
금호에이치티 214330 자산총계 146,407,321,466
금호에이치티 214330 유동부채 36,201,695,127
금호에이치티 214330 당기법인세부채 984,140,064
금호에이치티 214330 기타유동부채 1,666,447,526
금호에이치티 214330 비유동부채 12,644,802,311
금호에이치티 214330 부채총계 48,846,497,438
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 97,560,824,028
date : 2018-03-31
금호에이치티 214330 유동자산 91,337,201,456
금호에이치티 214330 현금및현금성자산 733,346,049
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 22,201,402,011
금호에이치티 214330 기타유동자산 5,709,833,358
금호에이치티 214330 비유동자산 55,307,589,950
금호에이치티 214330 유형자산 46,938,691,085
금호에이치티 214330 이연법인세자산 833,281,860
금호에이치티 214330 자산총계 146,644,791,406
금호에이치티 214330 유동부채 36,261,842,212
금호에이치티 214330 당기법인세부채 1,194,032,747
금호에이치티 214330 기타유동부채 1,256,495,444
금호에이치티 214330 비유동부채 11,397,514,457
금호에이치티 214330 부채총계 47,659,356,669
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 98,985,434,737
date : 2018-06-30
금호에이치티 214330 유동자산 99,753,107,306
금호에이치티 214330 현금및현금성자산 221,463,688
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 26,607,475,508
금호에이치티 214330 기타유동자산 7,093,936,781
금호에이치티 214330 비유동자산 55,892,216,676
금호에이치티 214330 유형자산 46,340,724,708
금호에이치티 214330 이연법인세자산 715,049,018
금호에이치티 214330 자산총계 155,645,323,982
금호에이치티 214330 유동부채 42,550,044,844
금호에이치티 214330 당기법인세부채 1,729,990,800
금호에이치티 214330 기타유동부채 1,152,297,880
금호에이치티 214330 비유동부채 10,150,226,603
금호에이치티 214330 부채총계 52,700,271,447
금호에이치티 214330 자본금 4,882,500,000
금호에이치티 214330 자본잉여금 5,288,089,093
금호에이치티 214330 자본총계 102,945,052,535
date : 2018-09-30
금호에이치티 214330 유동자산 122,503,246,462
금호에이치티 214330 현금및현금성자산 17,792,400,369
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 30,332,728,125
금호에이치티 214330 기타유동자산 5,720,469,296
금호에이치티 214330 비유동자산 86,121,426,870
금호에이치티 214330 유형자산 45,629,665,516
금호에이치티 214330 이연법인세자산 718,810,994
금호에이치티 214330 자산총계 208,624,673,332
금호에이치티 214330 유동부채 75,662,851,508
금호에이치티 214330 당기법인세부채 2,002,899,800
금호에이치티 214330 기타유동부채 2,133,156,788
금호에이치티 214330 비유동부채 23,402,938,749
금호에이치티 214330 부채총계 99,065,790,257
금호에이치티 214330 자본금 4,887,187,000
금호에이치티 214330 자본잉여금 5,339,435,822
금호에이치티 214330 자본총계 109,558,883,075
date : 2018-12-31
금호에이치티 214330 유동자산 138,884,192,467
금호에이치티 214330 현금및현금성자산 39,590,283,807
금호에이치티 214330 매출채권 및
금호에이치티 214330 재고자산 31,971,852,325
금호에이치티 214330 기타유동자산 3,184,940,478
금호에이치티 214330 비유동자산 91,384,683,589
금호에이치티 214330 유형자산 45,118,854,416
금호에이치티 214330 이연법인세자산 1,425,621,895
금호에이치티 214330 자산총계 230,268,876,056
금호에이치티 214330 유동부채 72,419,368,597
금호에이치티 214330 사채 20,083,843,734
