date : 2015-03-31
3S 060310 유동자산 14,907,177,686
3S 060310 현금및현금성자산 6,952,652,709
3S 060310 매출채권 및
3S 060310 재고자산 1,658,159,847
3S 060310 기타유동자산 205,768,388
3S 060310 비유동자산 51,526,982,735
3S 060310 장기금융상품 2,321,432,655
3S 060310 유형자산 41,115,036,217
3S 060310 무형자산 2,159,817,208
3S 060310 이연법인세자산 243,007,820
3S 060310 자산총계 66,434,160,421
3S 060310 유동부채 21,461,289,411
3S 060310 단기차입금 9,610,000,000
3S 060310 유동성장기차입금 2,645,030,192
3S 060310 기타유동부채 125,432,140
3S 060310 당기법인세부채 43,938,660
3S 060310 비유동부채 7,303,332,302
3S 060310 기타비유동금융부채 8,170,970
3S 060310 장기차입금 4,364,780,000
3S 060310 부채총계 28,764,621,713
3S 060310 자본금 20,446,134,000
3S 060310 이익잉여금(결손금) -18,962,088,416
3S 060310 자본총계 37,669,538,708
3S 060310 자본과부채총계 66,434,160,421
date : 2016-06-30
3S 060310 유동자산 14,466,871,449
3S 060310 현금및현금성자산 1,111,262,861
3S 060310 매출채권 및
3S 060310 재고자산 1,761,275,282
3S 060310 기타유동자산 556,330,351
3S 060310 비유동자산 44,204,286,715
3S 060310 장기금융상품 545,376,925
3S 060310 유형자산 36,655,078,350
3S 060310 무형자산 1,873,407,595
3S 060310 자산총계 58,671,158,164
3S 060310 유동부채 16,445,631,879
3S 060310 단기차입금 10,033,300,000
3S 060310 유동성장기차입금 2,276,040,000
3S 060310 기타유동부채 636,636,388
3S 060310 비유동부채 6,381,179,459
3S 060310 기타비유동금융부채 58,170,970
3S 060310 장기차입금 3,069,690,000
3S 060310 부채총계 22,826,811,338
3S 060310 자본금 20,870,396,500
3S 060310 이익잉여금(결손금) -22,873,627,436
3S 060310 자본총계 35,844,346,826
3S 060310 자본과부채총계 58,671,158,164
date : 2016-09-30
3S 060310 유동자산 12,129,446,533
3S 060310 현금및현금성자산 1,877,978,195
3S 060310 매출채권 및
3S 060310 재고자산 1,895,045,710
3S 060310 기타유동자산 755,628,372
3S 060310 비유동자산 42,984,988,054
3S 060310 장기금융상품 612,860,000
3S 060310 유형자산 36,178,926,780
3S 060310 무형자산 1,817,792,139
3S 060310 자산총계 55,114,434,587
3S 060310 유동부채 15,471,982,021
3S 060310 단기차입금 8,800,000,000
3S 060310 유동성장기차입금 3,042,680,000
3S 060310 기타유동부채 52,435,497
3S 060310 비유동부채 5,239,594,628
3S 060310 기타비유동금융부채 208,170,970
3S 060310 장기차입금 2,117,360,000
3S 060310 부채총계 20,711,576,649
3S 060310 자본금 20,984,948,000
3S 060310 이익잉여금(결손금) -24,759,466,329
