date : 2015-12-31
한국선재 025550 유동자산 66,473,775,862
한국선재 025550 현금및현금성자산 10,203,095,544
한국선재 025550 재고자산 30,802,619,393
한국선재 025550 기타유동자산 132,070,050
한국선재 025550 비유동자산 70,429,534,274
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 55,704,333,401
한국선재 025550 무형자산 390,351,955
한국선재 025550 자산총계 136,903,310,136
한국선재 025550 유동부채 42,070,031,263
한국선재 025550 기타유동부채 228,934,522
한국선재 025550 비유동부채 12,571,152,178
한국선재 025550 장기차입금 10,956,880,000
한국선재 025550 이연법인세부채 946,922,200
한국선재 025550 기타비유동금융부채 190,000,000
한국선재 025550 부채총계 54,641,183,441
한국선재 025550 자본금 12,261,127,000
한국선재 025550 이익잉여금(결손금) 48,829,877,473
한국선재 025550 자본총계 82,262,126,695
한국선재 025550 자본과부채총계 136,903,310,136
date : 2016-03-31
한국선재 025550 유동자산 61,654,355,633
한국선재 025550 현금및현금성자산 4,768,586,872
한국선재 025550 매출채권 및
한국선재 025550 재고자산 29,860,039,512
한국선재 025550 기타유동자산 2,194,119,712
한국선재 025550 비유동자산 87,708,592,996
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 73,935,668,602
한국선재 025550 무형자산 386,839,882
한국선재 025550 자산총계 149,362,948,629
한국선재 025550 유동부채 43,980,819,409
한국선재 025550 단기차입금 33,501,273,360
한국선재 025550 기타유동부채 3,889,110,975
한국선재 025550 비유동부채 25,351,767,168
한국선재 025550 장기차입금 23,578,320,000
한국선재 025550 이연법인세부채 946,922,200
한국선재 025550 부채총계 69,332,586,577
한국선재 025550 이익잉여금(결손금) 46,939,426,769
한국선재 025550 자본총계 80,030,362,052
한국선재 025550 자본과부채총계 149,362,948,629
date : 2016-06-30
한국선재 025550 유동자산 62,454,802,469
한국선재 025550 현금및현금성자산 4,954,169,697
한국선재 025550 매출채권 및
한국선재 025550 재고자산 32,619,724,338
한국선재 025550 기타유동자산 51,445,236
한국선재 025550 비유동자산 87,030,425,500
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 58,100,095,561
한국선재 025550 무형자산 390,988,760
한국선재 025550 자산총계 149,485,227,969
한국선재 025550 유동부채 42,576,184,707
한국선재 025550 단기차입금 31,651,146,696
한국선재 025550 기타유동부채 910,236,653
한국선재 025550 비유동부채 25,208,821,733
한국선재 025550 장기차입금 22,785,320,000
한국선재 025550 이연법인세부채 1,452,335,922
한국선재 025550 부채총계 67,785,006,440
한국선재 025550 이익잉여금(결손금) 49,046,969,592
한국선재 025550 자본총계 81,700,221,529
한국선재 025550 자본과부채총계 149,485,227,969
date : 2016-09-30
한국선재 025550 유동자산 71,430,998,858
한국선재 025550 현금및현금성자산 5,434,628,160
한국선재 025550 매출채권 및
한국선재 025550 재고자산 36,190,851,711
한국선재 025550 기타유동자산 782,264,008
한국선재 025550 비유동자산 88,180,145,612
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 57,891,086,953
한국선재 025550 무형자산 387,073,478
한국선재 025550 자산총계 159,611,144,470
한국선재 025550 유동부채 50,096,200,573
한국선재 025550 단기차입금 31,869,560,000
한국선재 025550 기타유동부채 178,428,750
한국선재 025550 비유동부채 26,979,070,403
한국선재 025550 장기차입금 24,392,480,000
한국선재 025550 이연법인세부채 1,452,335,922
한국선재 025550 부채총계 77,075,270,976
한국선재 025550 이익잉여금(결손금) 49,201,013,079
한국선재 025550 자본총계 82,535,873,494
한국선재 025550 자본과부채총계 159,611,144,470
date : 2016-12-31
한국선재 025550 유동자산 63,581,053,117
한국선재 025550 현금및현금성자산 6,349,132,448
한국선재 025550 재고자산 27,482,070,741
한국선재 025550 기타유동자산 81,011,649
한국선재 025550 비유동자산 90,692,313,051
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 57,896,350,842
한국선재 025550 무형자산 283,158,196
한국선재 025550 자산총계 154,273,366,168
한국선재 025550 유동부채 45,952,177,013
한국선재 025550 당기법인세부채 236,499,871
한국선재 025550 기타유동부채 2,318,453,770
한국선재 025550 비유동부채 26,371,060,903
한국선재 025550 장기차입금 23,349,640,000
한국선재 025550 이연법인세부채 2,053,765,185
한국선재 025550 기타비유동금융부채 180,000,000
한국선재 025550 부채총계 72,323,237,916
한국선재 025550 자본금 12,261,127,000
한국선재 025550 이익잉여금(결손금) 48,984,896,913
한국선재 025550 자본총계 81,950,128,252
한국선재 025550 자본과부채총계 154,273,366,168
date : 2017-03-31
한국선재 025550 유동자산 66,880,761,912
한국선재 025550 현금및현금성자산 2,044,612,453
한국선재 025550 매출채권 및
한국선재 025550 재고자산 38,101,683,069
한국선재 025550 기타유동자산 1,055,502,477
한국선재 025550 비유동자산 91,457,878,117
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 58,019,233,209
한국선재 025550 무형자산 321,526,247
한국선재 025550 자산총계 158,338,640,029
한국선재 025550 유동부채 54,114,407,297
한국선재 025550 단기차입금 46,409,683,200
한국선재 025550 당기법인세부채 127,555,161
한국선재 025550 기타유동부채 2,544,439,844
한국선재 025550 비유동부채 22,567,172,213
한국선재 025550 장기차입금 19,306,800,000
한국선재 025550 이연법인세부채 2,053,765,185
한국선재 025550 부채총계 76,681,579,510
한국선재 025550 이익잉여금(결손금) 48,350,828,936
한국선재 025550 자본총계 81,657,060,519
한국선재 025550 자본과부채총계 158,338,640,029
date : 2017-06-30
한국선재 025550 유동자산 72,768,606,639
한국선재 025550 현금및현금성자산 1,819,472,786
한국선재 025550 매출채권 및
한국선재 025550 재고자산 41,932,620,123
한국선재 025550 기타유동금융자산 97,208,058
한국선재 025550 비유동자산 92,938,155,299
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 58,931,849,684
한국선재 025550 무형자산 315,566,004
한국선재 025550 기타비유동금융자산 293,851,806
한국선재 025550 자산총계 165,706,761,938
한국선재 025550 유동부채 62,026,177,210
한국선재 025550 단기차입금 49,032,245,815
한국선재 025550 당기법인세부채 77,014,970
한국선재 025550 기타유동금융부채 1,560,735,664
한국선재 025550 비유동부채 21,923,168,981
한국선재 025550 장기차입금 18,263,960,000
한국선재 025550 이연법인세부채 2,348,071,967
한국선재 025550 기타비유동금융부채 233,335,890
한국선재 025550 부채총계 83,949,346,191
한국선재 025550 이익잉여금(결손금) 48,249,571,237
한국선재 025550 자본총계 81,757,415,747
한국선재 025550 자본과부채총계 165,706,761,938
date : 2017-09-30
한국선재 025550 유동자산 66,731,187,169
한국선재 025550 현금및현금성자산 3,449,239,699
한국선재 025550 매출채권 및
한국선재 025550 재고자산 34,587,571,787
한국선재 025550 기타유동금융자산 331,348,845
한국선재 025550 기타유동자산 106,536,544
한국선재 025550 비유동자산 91,302,310,351
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 58,552,594,908
한국선재 025550 무형자산 165,325,797
한국선재 025550 기타비유동금융자산 294,057,174
한국선재 025550 자산총계 158,033,497,520
한국선재 025550 유동부채 53,394,380,554
한국선재 025550 단기차입금 48,891,144,661
한국선재 025550 기타유동금융부채 1,418,718,097
한국선재 025550 당기법인세부채 42,152,040
한국선재 025550 기타유동부채 954,756,615
한국선재 025550 비유동부채 21,225,086,501
한국선재 025550 장기차입금 17,221,120,000
한국선재 025550 이연법인세부채 2,348,071,967
한국선재 025550 기타비유동금융부채 293,335,890
한국선재 025550 부채총계 74,619,467,055
한국선재 025550 자본금 12,261,127,000
한국선재 025550 이익잉여금(결손금) 50,251,188,822
한국선재 025550 자본총계 83,414,030,465
한국선재 025550 자본과부채총계 158,033,497,520
date : 2017-12-31
한국선재 025550 유동자산 78,765,475,666
한국선재 025550 현금및현금성자산 2,008,794,965
한국선재 025550 매출채권 및
한국선재 025550 재고자산 43,348,950,061
한국선재 025550 기타유동금융자산 303,239,960
한국선재 025550 기타유동자산 128,564,613
한국선재 025550 비유동자산 91,027,121,099
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 58,171,423,449
한국선재 025550 무형자산 159,517,097
한국선재 025550 기타비유동금융자산 294,269,793
한국선재 025550 자산총계 169,792,596,765
한국선재 025550 유동부채 65,942,147,595
한국선재 025550 단기차입금 53,376,528,640
한국선재 025550 당기법인세부채 83,489,135
한국선재 025550 기타유동금융부채 1,452,451,771
한국선재 025550 기타유동부채 549,984,771
한국선재 025550 비유동부채 20,391,610,238
한국선재 025550 장기차입금 16,178,280,000
한국선재 025550 이연법인세부채 2,931,884,296
한국선재 025550 기타비유동금융부채 207,437,808
한국선재 025550 부채총계 86,333,757,833
한국선재 025550 자본금 12,261,127,000
한국선재 025550 이익잉여금(결손금) 50,330,306,890
한국선재 025550 자본총계 83,458,838,932
한국선재 025550 자본과부채총계 169,792,596,765
date : 2018-03-31
한국선재 025550 유동자산 68,197,671,921
한국선재 025550 현금및현금성자산 1,287,352,147
한국선재 025550 매출채권 및
한국선재 025550 재고자산 38,296,102,676
한국선재 025550 기타유동금융자산 303,239,960
한국선재 025550 기타유동자산 151,163,500
한국선재 025550 비유동자산 89,232,879,890
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 57,497,618,877
한국선재 025550 무형자산 156,682,917
한국선재 025550 기타비유동금융자산 294,520,560
한국선재 025550 자산총계 157,430,551,811
한국선재 025550 유동부채 58,329,132,815
한국선재 025550 단기차입금 50,746,760,256
한국선재 025550 당기법인세부채 77,178,625
한국선재 025550 기타유동금융부채 1,362,751,242
한국선재 025550 기타유동부채 2,620,419,972
한국선재 025550 비유동부채 19,320,670,248
한국선재 025550 장기차입금 15,135,440,000
한국선재 025550 이연법인세부채 2,931,884,296
한국선재 025550 기타비유동금융부채 207,437,808
한국선재 025550 부채총계 77,649,803,063
한국선재 025550 자본금 12,261,127,000
한국선재 025550 이익잉여금(결손금) 48,445,236,341
한국선재 025550 자본총계 79,780,748,748
한국선재 025550 자본과부채총계 157,430,551,811
date : 2018-06-30
한국선재 025550 유동자산 72,358,697,629
한국선재 025550 현금및현금성자산 3,832,079,724
한국선재 025550 매출채권 및
한국선재 025550 재고자산 39,448,827,599
한국선재 025550 기타유동금융자산 303,239,960
한국선재 025550 기타유동자산 560,703,825
한국선재 025550 비유동자산 89,714,037,561
한국선재 025550 장기금융상품 6,500,000
한국선재 025550 유형자산 57,432,121,077
한국선재 025550 무형자산 318,688,420
한국선재 025550 기타비유동금융자산 299,328,708
한국선재 025550 자산총계 162,072,735,190
한국선재 025550 유동부채 60,051,756,955
한국선재 025550 단기차입금 46,732,393,143
한국선재 025550 당기법인세부채 83,489,135
한국선재 025550 기타유동금융부채 1,536,145,683
한국선재 025550 기타유동부채 1,278,493,143
한국선재 025550 비유동부채 21,216,742,479
한국선재 025550 장기차입금 17,092,600,000
한국선재 025550 이연법인세부채 2,896,483,322
