date : 2015-12-31
휠라코리아 081660 유동자산 169,385,990,396
휠라코리아 081660 현금및현금성자산 16,359,361,778
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 10,574,172,834
휠라코리아 081660 재고자산 102,187,999,585
휠라코리아 081660 비유동자산 536,213,683,681
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 34,093,207,257
휠라코리아 081660 무형자산 17,991,893,864
휠라코리아 081660 이연법인세자산 9,487,589,930
휠라코리아 081660 기타비유동자산 161,382,634
휠라코리아 081660 자산총계 705,599,674,077
휠라코리아 081660 유동부채 113,413,178,771
휠라코리아 081660 당기법인세부채 275,380,158
휠라코리아 081660 기타유동부채 2,365,140,192
휠라코리아 081660 비유동부채 203,605,952,716
휠라코리아 081660 사채 75,363,186,782
휠라코리아 081660 부채총계 317,019,131,487
휠라코리아 081660 자본금 56,540,070,000
휠라코리아 081660 자본총계 388,580,542,590
휠라코리아 081660 자본과부채총계 705,599,674,077
date : 2016-03-31
휠라코리아 081660 유동자산 343,001,459,119
휠라코리아 081660 현금및현금성자산 7,396,678,793
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 11,189,198,350
휠라코리아 081660 재고자산 110,875,035,266
휠라코리아 081660 비유동자산 367,583,555,583
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 36,694,780,771
휠라코리아 081660 무형자산 17,970,887,671
휠라코리아 081660 이연법인세자산 11,554,266,789
휠라코리아 081660 기타비유동자산 135,842,078
휠라코리아 081660 자산총계 710,585,014,702
휠라코리아 081660 유동부채 132,064,085,514
휠라코리아 081660 당기법인세부채 0
휠라코리아 081660 기타유동부채 1,908,437,338
휠라코리아 081660 비유동부채 200,317,708,509
휠라코리아 081660 사채 74,262,477,225
휠라코리아 081660 부채총계 332,381,794,023
휠라코리아 081660 자본금 56,540,070,000
휠라코리아 081660 자본총계 378,203,220,679
휠라코리아 081660 자본과부채총계 710,585,014,702
date : 2016-06-30
휠라코리아 081660 유동자산 371,825,141,335
휠라코리아 081660 현금및현금성자산 38,760,831,523
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 11,685,643,876
휠라코리아 081660 재고자산 104,311,864,877
휠라코리아 081660 비유동자산 371,053,650,202
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 38,150,035,431
휠라코리아 081660 무형자산 17,424,157,877
휠라코리아 081660 이연법인세자산 10,725,176,939
휠라코리아 081660 기타비유동자산 110,301,522
휠라코리아 081660 자산총계 742,878,791,537
휠라코리아 081660 유동부채 128,765,829,288
휠라코리아 081660 당기법인세부채 0
휠라코리아 081660 기타유동부채 1,681,693,901
휠라코리아 081660 비유동부채 230,396,009,453
휠라코리아 081660 사채 75,073,402,444
휠라코리아 081660 부채총계 359,161,838,741
휠라코리아 081660 자본금 57,040,070,000
휠라코리아 081660 자본총계 383,716,952,796
휠라코리아 081660 자본과부채총계 742,878,791,537
date : 2016-09-30
휠라코리아 081660 유동자산 164,406,773,683
휠라코리아 081660 현금및현금성자산 21,391,414,084
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 8,567,296,952
휠라코리아 081660 재고자산 105,212,882,932
휠라코리아 081660 비유동자산 566,193,681,827
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 48,949,576,611
휠라코리아 081660 무형자산 17,488,813,815
휠라코리아 081660 이연법인세자산 16,305,194,187
휠라코리아 081660 기타비유동자산 204,493,548
휠라코리아 081660 자산총계 730,600,455,510
휠라코리아 081660 유동부채 134,660,321,800
휠라코리아 081660 당기법인세부채 0
휠라코리아 081660 기타유동부채 1,752,989,912
휠라코리아 081660 비유동부채 230,930,758,390
휠라코리아 081660 사채 70,749,215,452
휠라코리아 081660 부채총계 365,591,080,190
휠라코리아 081660 자본금 57,040,070,000
휠라코리아 081660 자본총계 365,009,375,320
휠라코리아 081660 자본과부채총계 730,600,455,510
date : 2016-12-31
휠라코리아 081660 유동자산 153,525,561,465
휠라코리아 081660 현금및현금성자산 14,169,662,974
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 7,941,648,877
휠라코리아 081660 재고자산 93,921,671,283
휠라코리아 081660 비유동자산 600,671,548,174
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 46,228,546,644
휠라코리아 081660 무형자산 21,381,587,596
휠라코리아 081660 이연법인세자산 19,708,822,360
휠라코리아 081660 기타비유동자산 86,650,926
휠라코리아 081660 자산총계 754,197,109,639
휠라코리아 081660 유동부채 177,806,549,335
휠라코리아 081660 당기법인세부채 0
휠라코리아 081660 기타유동부채 1,499,455,350
휠라코리아 081660 비유동부채 206,875,869,157
휠라코리아 081660 사채 78,083,461,792
휠라코리아 081660 부채총계 384,682,418,492
휠라코리아 081660 자본금 57,040,070,000
휠라코리아 081660 자본총계 369,514,691,147
휠라코리아 081660 자본과부채총계 754,197,109,639
date : 2017-03-31
휠라코리아 081660 유동자산 162,688,621,968
휠라코리아 081660 현금및현금성자산 18,580,843,637
휠라코리아 081660 매출채권 및
휠라코리아 081660 기타유동자산 7,642,919,460
휠라코리아 081660 재고자산 105,320,069,047
휠라코리아 081660 비유동자산 590,374,949,411
휠라코리아 081660 매출채권 및
휠라코리아 081660 유형자산 46,985,697,685
휠라코리아 081660 무형자산 21,259,014,429
휠라코리아 081660 이연법인세자산 22,816,366,589
휠라코리아 081660 기타비유동자산 6,078,018
휠라코리아 081660 자산총계 753,063,571,379
휠라코리아 081660 유동부채 255,532,959,653
휠라코리아 081660 사채 72,199,751,554
휠라코리아 081660 당기법인세부채 0
휠라코리아 081660 기타유동부채 1,660,683,093
휠라코리아 081660 비유동부채 127,648,580,002
휠라코리아 081660 사채 78,083,461,792
휠라코리아 081660 부채총계 383,181,539,655
휠라코리아 081660 자본금 61,115,070,000
휠라코리아 081660 자본총계 369,882,031,724
휠라코리아 081660 자본과부채총계 753,063,571,379
date : 2017-06-30
휠라코리아 081660 유동자산 157,333,485,656
휠라코리아 081660 현금및현금성자산 6,796,690,254
휠라코리아 081660 매출채권 및
휠라코리아 081660 재고자산 100,904,939,815
