date : 2015-12-31
삼부토건 001470 유동자산 1,065,747,499,507
삼부토건 001470 현금및현금성자산 26,119,181,764
삼부토건 001470 기타유동금융자산 700,000,000
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 42,166,259,756
삼부토건 001470 비유동자산 247,912,433,600
삼부토건 001470 기타비유동금융자산 57,628,598,808
삼부토건 001470 무형자산 2,279,122,000
삼부토건 001470 유형자산 7,511,367,286
삼부토건 001470 자산총계 1,313,659,933,107
삼부토건 001470 유동부채 1,659,849,270,666
삼부토건 001470 단기차입금 998,032,989,861
삼부토건 001470 기타유동금융부채 12,969,705
삼부토건 001470 비유동부채 42,556,281,757
삼부토건 001470 장기차입금 1,056,170,968
삼부토건 001470 기타비유동금융부채 24,706,849
삼부토건 001470 이연법인세부채 111,854,589,758
삼부토건 001470 부채총계 1,702,405,552,423
삼부토건 001470 자본금 44,013,435,000
삼부토건 001470 자본잉여금 33,651,672,136
삼부토건 001470 이익잉여금(결손금) -955,809,269,788
삼부토건 001470 자본총계 -388,745,619,316
삼부토건 001470 자본과부채총계 1,313,659,933,107
date : 2016-03-31
삼부토건 001470 유동자산 1,055,773,780,987
삼부토건 001470 현금및현금성자산 19,346,324,917
삼부토건 001470 기타유동금융자산 700,000,000
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 42,927,149,159
삼부토건 001470 비유동자산 179,116,213,002
삼부토건 001470 기타비유동금융자산 82,596,621,093
삼부토건 001470 장기금융상품 608,620,000
삼부토건 001470 무형자산 2,279,122,000
삼부토건 001470 유형자산 6,939,812,354
삼부토건 001470 자산총계 1,234,889,993,989
삼부토건 001470 유동부채 959,228,846,927
삼부토건 001470 단기차입금 998,032,989,861
삼부토건 001470 기타유동금융부채 37,802,300,428
삼부토건 001470 비유동부채 54,445,017,710
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 기타비유동금융부채 24,706,849
삼부토건 001470 이연법인세부채 111,854,589,758
삼부토건 001470 부채총계 1,013,673,864,637
삼부토건 001470 자본금 31,142,925,000
삼부토건 001470 자본잉여금 354,366,449,240
삼부토건 001470 이익잉여금(결손금) -355,016,406,171
삼부토건 001470 자본총계 221,216,129,352
삼부토건 001470 자본과부채총계 1,234,889,993,989
date : 2016-06-30
삼부토건 001470 유동자산 1,053,477,164,048
삼부토건 001470 현금및현금성자산 29,252,636,015
삼부토건 001470 기타유동금융자산 700,000,000
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 42,332,617,022
삼부토건 001470 비유동자산 143,761,321,175
삼부토건 001470 기타비유동금융자산 76,538,002,853
삼부토건 001470 장기금융상품 19,000,000
삼부토건 001470 무형자산 2,279,122,000
삼부토건 001470 유형자산 6,622,080,912
삼부토건 001470 자산총계 1,197,238,485,223
삼부토건 001470 유동부채 1,035,518,980,487
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 128,621,186,847
삼부토건 001470 비유동부채 56,250,981,173
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 기타비유동금융부채 24,706,849
삼부토건 001470 이연법인세부채 111,854,589,758
삼부토건 001470 부채총계 1,091,769,961,660
삼부토건 001470 자본금 31,142,925,000
삼부토건 001470 자본잉여금 322,204,035,240
삼부토건 001470 이익잉여금(결손금) -449,168,249,138
삼부토건 001470 자본총계 105,468,523,563
삼부토건 001470 자본과부채총계 1,197,238,485,223
date : 2016-09-30
삼부토건 001470 유동자산 979,789,329,962
삼부토건 001470 현금및현금성자산 29,888,527,300
삼부토건 001470 기타유동금융자산 700,000,000
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 35,461,860,371
삼부토건 001470 비유동자산 97,714,581,705
삼부토건 001470 기타비유동금융자산 55,420,214,100
삼부토건 001470 장기금융상품 19,000,000
삼부토건 001470 무형자산 2,279,122,000
삼부토건 001470 유형자산 6,098,510,723
삼부토건 001470 자산총계 1,077,503,911,667
삼부토건 001470 유동부채 966,866,223,629
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 12,969,705
삼부토건 001470 비유동부채 57,126,826,942
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 기타비유동금융부채 24,706,849
삼부토건 001470 이연법인세부채 111,854,589,758
삼부토건 001470 부채총계 1,023,993,050,571
삼부토건 001470 자본금 31,142,925,000
삼부토건 001470 자본잉여금 322,204,035,240
삼부토건 001470 이익잉여금(결손금) -498,103,577,293
삼부토건 001470 자본총계 53,510,861,096
삼부토건 001470 자본과부채총계 1,077,503,911,667
date : 2016-12-31
삼부토건 001470 유동자산 286,409,673,467
삼부토건 001470 현금및현금성자산 90,755,884,372
삼부토건 001470 기타유동금융자산 700,000,000
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 34,902,096,507
삼부토건 001470 비유동자산 96,709,794,481
삼부토건 001470 기타비유동금융자산 56,597,209,100
삼부토건 001470 장기금융상품 19,000,000
삼부토건 001470 무형자산 1,713,320,182
삼부토건 001470 유형자산 6,036,337,469
삼부토건 001470 자산총계 383,119,467,948
삼부토건 001470 유동부채 171,801,303,059
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 12,969,705
삼부토건 001470 비유동부채 52,345,118,857
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 기타비유동금융부채 24,706,849
삼부토건 001470 이연법인세부채 111,854,589,758
삼부토건 001470 부채총계 224,146,421,916
삼부토건 001470 자본금 48,791,975,000
삼부토건 001470 자본잉여금 975,642,640,240
삼부토건 001470 이익잉여금(결손금) -35,622,997,752
삼부토건 001470 자본총계 158,973,046,032
삼부토건 001470 자본과부채총계 383,119,467,948
date : 2017-03-31
삼부토건 001470 유동자산 261,457,229,902
삼부토건 001470 현금및현금성자산 84,525,904,808
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 34,556,365,090
삼부토건 001470 비유동자산 92,193,786,184
삼부토건 001470 기타비유동금융자산 58,299,471,238
삼부토건 001470 장기금융상품 17,500,000
삼부토건 001470 무형자산 531,502,000
삼부토건 001470 유형자산 5,556,009,020
삼부토건 001470 자산총계 353,651,016,086
삼부토건 001470 유동부채 151,672,676,499
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 12,969,705
삼부토건 001470 비유동부채 44,172,442,217
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 부채총계 195,845,118,716
삼부토건 001470 자본금 48,791,975,000
삼부토건 001470 자본잉여금 975,642,640,240
삼부토건 001470 이익잉여금(결손금) -34,716,138,352
삼부토건 001470 자본총계 157,805,897,370
삼부토건 001470 자본과부채총계 353,651,016,086
date : 2017-06-30
삼부토건 001470 유동자산 255,345,788,423
삼부토건 001470 현금및현금성자산 81,222,791,514
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 33,865,779,802
삼부토건 001470 비유동자산 92,373,017,955
삼부토건 001470 기타비유동금융자산 58,023,054,100
삼부토건 001470 장기금융상품 17,500,000
삼부토건 001470 무형자산 531,502,000
삼부토건 001470 유형자산 5,326,301,476
삼부토건 001470 자산총계 347,718,806,378
삼부토건 001470 유동부채 147,453,571,789
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 비유동부채 44,804,118,938
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 부채총계 192,257,690,727
삼부토건 001470 자본금 48,931,330,000
삼부토건 001470 자본잉여금 976,896,945,240
삼부토건 001470 이익잉여금(결손금) -37,455,043,720
삼부토건 001470 자본총계 155,461,115,651
삼부토건 001470 자본과부채총계 347,718,806,378
date : 2017-09-30
삼부토건 001470 유동자산 291,097,376,456
삼부토건 001470 현금및현금성자산 135,341,423,310
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 32,457,093,348
삼부토건 001470 비유동자산 84,992,989,773
삼부토건 001470 장기금융상품 17,500,000
삼부토건 001470 유형자산 5,207,194,358
삼부토건 001470 무형자산 629,986,500
삼부토건 001470 기타비유동금융자산 50,178,880,568
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 376,090,366,229
삼부토건 001470 유동부채 125,803,152,653
삼부토건 001470 단기매입채무 22,015,110,279
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 45,065,764,262
삼부토건 001470 비유동부채 50,130,920,374
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 부채총계 175,934,073,027
삼부토건 001470 자본금 92,158,995,000
삼부토건 001470 자본잉여금 979,112,362,264
삼부토건 001470 기타포괄손익누계액 -11,259,975,767
삼부토건 001470 이익잉여금(결손금) -54,359,549,891
삼부토건 001470 자본총계 200,156,293,202
삼부토건 001470 자본과부채총계 376,090,366,229
date : 2017-12-31
삼부토건 001470 유동자산 269,506,291,277
삼부토건 001470 현금및현금성자산 80,977,896,451
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 32,175,104,232
삼부토건 001470 비유동자산 101,678,570,846
삼부토건 001470 장기금융상품 15,500,000
삼부토건 001470 유형자산 5,007,877,828
삼부토건 001470 무형자산 629,986,500
삼부토건 001470 기타비유동금융자산 50,223,070,568
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 371,184,862,123
삼부토건 001470 유동부채 127,783,307,908
삼부토건 001470 단기매입채무 31,550,488,351
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 유동성장기차입금 846,760,703,343
삼부토건 001470 유동성사채 57,657,108,000
삼부토건 001470 기타유동금융부채 33,542,605,559
삼부토건 001470 비유동부채 49,856,381,466
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 부채총계 177,639,689,374
삼부토건 001470 자본금 93,833,750,000
삼부토건 001470 자본잉여금 994,185,402,264
삼부토건 001470 기타포괄손익누계액 -17,340,327,429
삼부토건 001470 이익잉여금(결손금) -58,072,399,732
삼부토건 001470 자본총계 193,545,172,749
삼부토건 001470 자본과부채총계 371,184,862,123
date : 2018-03-31
삼부토건 001470 유동자산 251,450,062,938
삼부토건 001470 현금및현금성자산 81,123,207,815
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 32,157,720,824
삼부토건 001470 비유동자산 102,711,895,579
삼부토건 001470 장기금융상품 11,000,000
삼부토건 001470 유형자산 4,860,610,816
삼부토건 001470 무형자산 629,986,500
삼부토건 001470 기타비유동금융자산 50,277,810,568
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 354,161,958,517
삼부토건 001470 유동부채 118,890,263,562
삼부토건 001470 단기매입채무 21,082,148,472
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 기타유동금융부채 34,556,909,323
삼부토건 001470 비유동부채 50,514,161,656
삼부토건 001470 부채총계 169,404,425,218
삼부토건 001470 자본금 93,833,750,000
삼부토건 001470 자본잉여금 994,185,402,264
삼부토건 001470 기타포괄손익누계액 -16,668,924,830
삼부토건 001470 이익잉여금(결손금) -67,531,441,781
삼부토건 001470 자본총계 184,757,533,299
삼부토건 001470 자본과부채총계 354,161,958,517
date : 2018-06-30
삼부토건 001470 유동자산 238,673,395,805
삼부토건 001470 현금및현금성자산 104,986,539,863
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 30,341,777,983
삼부토건 001470 비유동자산 108,068,893,910
삼부토건 001470 기타비유동금융자산 50,272,004,715
삼부토건 001470 유형자산 4,734,368,215
삼부토건 001470 무형자산 629,986,500
삼부토건 001470 장기금융상품 11,000,000
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 346,742,289,715
삼부토건 001470 유동부채 118,882,578,377
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 단기매입채무 22,754,655,710
삼부토건 001470 기타유동금융부채 31,254,509,090
삼부토건 001470 비유동부채 43,916,019,150
삼부토건 001470 부채총계 162,798,597,527
삼부토건 001470 자본금 94,369,205,000
삼부토건 001470 자본잉여금 999,004,577,264
삼부토건 001470 기타포괄손익누계액 -17,001,130,361
삼부토건 001470 이익잉여금(결손금) -68,859,108,901
삼부토건 001470 자본총계 183,943,692,188
삼부토건 001470 자본과부채총계 346,742,289,715
date : 2018-09-30
삼부토건 001470 유동자산 256,630,889,377
삼부토건 001470 현금및현금성자산 110,558,829,655
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 31,038,569,963
삼부토건 001470 비유동자산 108,145,407,666
삼부토건 001470 기타비유동금융자산 50,294,769,715
삼부토건 001470 유형자산 4,617,799,530
삼부토건 001470 무형자산 664,046,500
삼부토건 001470 장기금융상품 11,000,000
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 364,776,297,043
삼부토건 001470 유동부채 104,084,939,238
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 단기매입채무 20,903,965,233
삼부토건 001470 기타유동금융부채 25,429,816,448
삼부토건 001470 비유동부채 44,632,124,723
삼부토건 001470 부채총계 148,717,063,961
삼부토건 001470 자본금 124,015,655,000
삼부토건 001470 자본잉여금 1,012,472,707,264
삼부토건 001470 기타포괄손익누계액 -17,933,173,183
삼부토건 001470 이익잉여금(결손금) -65,151,985,077
삼부토건 001470 자본총계 216,059,233,082
삼부토건 001470 자본과부채총계 364,776,297,043
date : 2018-12-31
삼부토건 001470 유동자산 232,931,601,764
삼부토건 001470 현금및현금성자산 102,478,197,039
삼부토건 001470 매출채권 및
삼부토건 001470 재고자산 29,554,023,899
삼부토건 001470 비유동자산 133,358,220,476
삼부토건 001470 기타비유동금융자산 50,155,928,607
삼부토건 001470 유형자산 4,483,948,404
삼부토건 001470 무형자산 664,046,500
삼부토건 001470 장기금융상품 11,000,000
삼부토건 001470 기타비유동자산 231,300,000
삼부토건 001470 자산총계 366,289,822,240
삼부토건 001470 유동부채 110,324,802,469
삼부토건 001470 단기차입금 9,418,460,000
삼부토건 001470 단기매입채무 25,396,760,216
삼부토건 001470 기타유동금융부채 22,376,323,327
삼부토건 001470 비유동부채 44,605,075,146
삼부토건 001470 장기차입금 106,167,000
삼부토건 001470 부채총계 154,929,877,615
삼부토건 001470 자본금 124,015,655,000
