date : 2015-12-31
심엔터테인먼트 204630 유동자산 19,491,083,428
심엔터테인먼트 204630 현금및현금성자산 1,764,240,229
심엔터테인먼트 204630 매출채권 1,431,601,377
심엔터테인먼트 204630 재고자산 1,900,778,671
심엔터테인먼트 204630 기타유동자산 4,684,608,998
심엔터테인먼트 204630 비유동자산 4,388,030,143
심엔터테인먼트 204630 유형자산 3,332,114,382
심엔터테인먼트 204630 무형자산 190,494,984
심엔터테인먼트 204630 이연법인세자산 781,360,632
심엔터테인먼트 204630 자산총계 23,879,113,571
심엔터테인먼트 204630 유동부채 2,693,978,945
심엔터테인먼트 204630 당기법인세부채 128,484,817
심엔터테인먼트 204630 기타유동부채 1,608,504,921
심엔터테인먼트 204630 비유동부채 1,900,351,632
심엔터테인먼트 204630 부채총계 4,594,330,577
심엔터테인먼트 204630 자본잉여금 19,058,486,801
심엔터테인먼트 204630 기타포괄손익누계액 -4,299,274
심엔터테인먼트 204630 이익잉여금(결손금) -4,181,730,470
심엔터테인먼트 204630 자본총계 19,284,782,994
심엔터테인먼트 204630 자본과부채총계 23,879,113,571
date : 2016-03-31
화이브라더스 204630 유동자산 18,375,475,518
화이브라더스 204630 현금및현금성자산 1,322,078,106
화이브라더스 204630 매출채권 및
화이브라더스 204630 재고자산 1,698,647,116
화이브라더스 204630 기타유동자산 4,940,661,178
화이브라더스 204630 비유동자산 4,574,937,412
화이브라더스 204630 유형자산 3,499,104,381
화이브라더스 204630 무형자산 186,422,271
화이브라더스 204630 이연법인세자산 84,060,145
화이브라더스 204630 자산총계 22,950,412,930
화이브라더스 204630 유동부채 2,209,450,417
화이브라더스 204630 당기법인세부채 91,145,511
화이브라더스 204630 비유동부채 1,373,680,559
화이브라더스 204630 장기차입금 843,413,568
화이브라더스 204630 부채총계 3,583,130,976
화이브라더스 204630 자본잉여금 20,673,784,557
화이브라더스 204630 기타포괄손익누계액 -6,211,574
화이브라더스 204630 이익잉여금(결손금) -3,846,097,340
화이브라더스 204630 자본총계 19,367,281,954
화이브라더스 204630 자본과부채총계 22,950,412,930
date : 2016-06-30
화이브라더스 204630 유동자산 50,575,846,625
화이브라더스 204630 현금및현금성자산 24,656,438,805
화이브라더스 204630 매출채권 및
화이브라더스 204630 재고자산 1,117,417,473
화이브라더스 204630 기타유동자산 6,462,830,141
화이브라더스 204630 비유동자산 4,972,795,084
화이브라더스 204630 유형자산 3,747,966,852
화이브라더스 204630 무형자산 164,647,051
화이브라더스 204630 이연법인세자산 238,192,565
화이브라더스 204630 자산총계 55,548,641,709
화이브라더스 204630 유동부채 3,460,243,209
화이브라더스 204630 당기법인세부채 146,870,000
화이브라더스 204630 비유동부채 7,287,195,354
화이브라더스 204630 장기차입금 6,561,987,940
화이브라더스 204630 이연법인세부채 618,745,740
화이브라더스 204630 부채총계 10,747,438,563
화이브라더스 204630 자본잉여금 43,118,054,700
화이브라더스 204630 기타포괄손익누계액 103,307,231
화이브라더스 204630 이익잉여금(결손금) -3,706,225,387
화이브라더스 204630 자본총계 44,801,203,146
화이브라더스 204630 자본과부채총계 55,548,641,709
date : 2016-09-30
화이브라더스 204630 유동자산 46,310,754,625
화이브라더스 204630 현금및현금성자산 17,778,349,145
화이브라더스 204630 매출채권 및
화이브라더스 204630 재고자산 1,167,558,606
화이브라더스 204630 기타유동자산 6,633,834,720
화이브라더스 204630 비유동자산 12,123,661,883
화이브라더스 204630 유형자산 3,915,071,900
화이브라더스 204630 무형자산 148,089,462
화이브라더스 204630 이연법인세자산 238,192,565
화이브라더스 204630 자산총계 58,434,416,508
화이브라더스 204630 유동부채 4,645,261,721
화이브라더스 204630 당기법인세부채 0
화이브라더스 204630 비유동부채 7,092,389,117
화이브라더스 204630 이연법인세부채 618,745,740
화이브라더스 204630 부채총계 11,737,650,838
화이브라더스 204630 자본잉여금 45,443,670,488
화이브라더스 204630 기타포괄손익누계액 146,030,877
화이브라더스 204630 이익잉여금(결손금) -3,315,017,940
화이브라더스 204630 자본총계 46,696,765,670
화이브라더스 204630 자본과부채총계 58,434,416,508
date : 2016-12-31
화이브라더스 204630 유동자산 40,767,256,156
화이브라더스 204630 현금및현금성자산 15,003,647,438
화이브라더스 204630 매출채권 및
화이브라더스 204630 재고자산 1,759,023,906
화이브라더스 204630 기타유동자산 6,979,315,088
화이브라더스 204630 비유동자산 15,036,250,775
화이브라더스 204630 유형자산 6,897,426,301
화이브라더스 204630 무형자산 137,690,271
화이브라더스 204630 이연법인세자산 358,512,255
화이브라더스 204630 자산총계 55,803,506,931
화이브라더스 204630 유동부채 3,584,651,452
화이브라더스 204630 당기법인세부채 0
화이브라더스 204630 비유동부채 9,110,201,147
화이브라더스 204630 부채총계 12,694,852,599
화이브라더스 204630 자본금 2,759,878,500
화이브라더스 204630 자본잉여금 45,443,670,488
화이브라더스 204630 기타포괄손익누계액 80,057,918
화이브라더스 204630 이익잉여금(결손금) -4,752,874,669
화이브라더스 204630 자본총계 43,108,654,332
화이브라더스 204630 자본과부채총계 55,803,506,931
date : 2017-03-31
화이브라더스 204630 유동자산 41,136,866,169
화이브라더스 204630 현금및현금성자산 13,107,985,411
화이브라더스 204630 매출채권 및
화이브라더스 204630 재고자산 4,212,620,643
화이브라더스 204630 기타유동자산 7,463,655,944
화이브라더스 204630 비유동자산 15,536,970,910
화이브라더스 204630 유형자산 7,336,578,437
화이브라더스 204630 무형자산 187,291,080
화이브라더스 204630 이연법인세자산 299,585,453
화이브라더스 204630 자산총계 56,673,837,079
화이브라더스 204630 유동부채 4,101,345,528
화이브라더스 204630 당기법인세부채 93,992,021
화이브라더스 204630 비유동부채 9,162,053,471
화이브라더스 204630 부채총계 13,263,398,999
화이브라더스 204630 자본금 2,759,878,500
화이브라더스 204630 자본잉여금 45,443,670,488
화이브라더스 204630 기타포괄손익누계액 -13,585,150
화이브라더스 204630 이익잉여금(결손금) -4,482,912,851
화이브라더스 204630 자본총계 43,410,438,080
화이브라더스 204630 자본과부채총계 56,673,837,079
date : 2017-06-30
화이브라더스코리아 204630 유동자산 41,064,176,892
화이브라더스코리아 204630 현금및현금성자산 4,575,994,585
화이브라더스코리아 204630 매출채권 10,224,612,751
화이브라더스코리아 204630 재고자산 1,582,149,798
화이브라더스코리아 204630 기타유동자산 7,882,593,700
화이브라더스코리아 204630 비유동자산 18,374,300,193
화이브라더스코리아 204630 유형자산 7,027,073,257
화이브라더스코리아 204630 무형자산 185,136,057
화이브라더스코리아 204630 이연법인세자산 367,260,947
화이브라더스코리아 204630 자산총계 59,438,477,085
화이브라더스코리아 204630 유동부채 7,268,922,747
화이브라더스코리아 204630 기타유동부채 3,254,912,763
화이브라더스코리아 204630 비유동부채 5,558,880,315
화이브라더스코리아 204630 부채총계 12,827,803,062
화이브라더스코리아 204630 자본금 2,861,347,500
화이브라더스코리아 204630 자본잉여금 49,969,492,123
화이브라더스코리아 204630 기타포괄손익누계액 90,533,633
화이브라더스코리아 204630 이익잉여금(결손금) -6,112,108,003
화이브라더스코리아 204630 자본총계 46,610,674,023
화이브라더스코리아 204630 자본과부채총계 59,438,477,085
date : 2017-09-30
화이브라더스코리아 204630 유동자산 40,081,406,639
화이브라더스코리아 204630 현금및현금성자산 2,849,031,552
화이브라더스코리아 204630 매출채권 9,147,909,207
화이브라더스코리아 204630 재고자산 3,865,058,434
화이브라더스코리아 204630 기타유동금융자산 4,739,391,950
화이브라더스코리아 204630 기타유동자산 6,203,719,600
화이브라더스코리아 204630 비유동자산 19,274,598,172
화이브라더스코리아 204630 유형자산 6,724,766,046
화이브라더스코리아 204630 무형자산 186,444,501
화이브라더스코리아 204630 기타비유동금융자산 1,388,738,576
화이브라더스코리아 204630 이연법인세자산 464,638,353
화이브라더스코리아 204630 자산총계 59,356,004,811
화이브라더스코리아 204630 유동부채 7,349,795,069
화이브라더스코리아 204630 기타유동금융부채 4,404,219,912
화이브라더스코리아 204630 기타유동부채 2,945,575,157
화이브라더스코리아 204630 비유동부채 5,855,937,252
화이브라더스코리아 204630 부채총계 13,205,732,321
화이브라더스코리아 204630 자본금 2,861,347,500
화이브라더스코리아 204630 자본잉여금 49,969,492,123
화이브라더스코리아 204630 기타포괄손익누계액 -68,412,584
화이브라더스코리아 204630 이익잉여금(결손금) -6,517,136,643
화이브라더스코리아 204630 자본총계 46,150,272,490
화이브라더스코리아 204630 자본과부채총계 59,356,004,811
date : 2017-12-31
화이브라더스코리아 204630 유동자산 33,574,998,239
화이브라더스코리아 204630 현금및현금성자산 7,003,433,751
화이브라더스코리아 204630 매출채권 5,675,478,106
화이브라더스코리아 204630 재고자산 1,522,094,739
화이브라더스코리아 204630 기타유동자산 3,071,537,193
화이브라더스코리아 204630 비유동자산 19,305,429,102
화이브라더스코리아 204630 유형자산 6,644,959,968
화이브라더스코리아 204630 무형자산 188,927,512
화이브라더스코리아 204630 이연법인세자산 255,478,358
화이브라더스코리아 204630 자산총계 52,880,427,341
화이브라더스코리아 204630 유동부채 2,334,976,252
화이브라더스코리아 204630 기타유동부채 1,225,511,357
화이브라더스코리아 204630 당기법인세부채 128,484,817
화이브라더스코리아 204630 비유동부채 4,934,060,884
화이브라더스코리아 204630 부채총계 7,269,037,136
화이브라더스코리아 204630 자본금 2,861,347,500
화이브라더스코리아 204630 자본잉여금 49,969,492,123
화이브라더스코리아 204630 기타포괄손익누계액 20,615,543
화이브라더스코리아 204630 이익잉여금(결손금) -7,171,603,731
화이브라더스코리아 204630 자본총계 45,611,390,205
화이브라더스코리아 204630 자본과부채총계 52,880,427,341
date : 2018-03-31
화이브라더스코리아 204630 유동자산 33,608,013,416
화이브라더스코리아 204630 현금및현금성자산 7,912,852,870
화이브라더스코리아 204630 매출채권 4,141,739,735
화이브라더스코리아 204630 재고자산 1,542,209,537
화이브라더스코리아 204630 기타유동자산 2,926,716,702
화이브라더스코리아 204630 비유동자산 19,717,440,079
화이브라더스코리아 204630 유형자산 6,687,880,953
화이브라더스코리아 204630 무형자산 171,294,023
화이브라더스코리아 204630 이연법인세자산 241,887,847
화이브라더스코리아 204630 자산총계 53,325,453,495
화이브라더스코리아 204630 유동부채 2,756,038,697
