date : 2015-12-31
스틸앤리소시즈 032860 유동자산 31,037,012,343
스틸앤리소시즈 032860 현금및현금성자산 820,709,312
스틸앤리소시즈 032860 매출채권 및
스틸앤리소시즈 032860 재고자산 2,103,161,889
스틸앤리소시즈 032860 기타유동자산 262,683,188
스틸앤리소시즈 032860 매각예정비유동자산 24,505,517,710
스틸앤리소시즈 032860 비유동자산 282,826,028
스틸앤리소시즈 032860 유형자산 151,370,739
스틸앤리소시즈 032860 무형자산 3,881,857
스틸앤리소시즈 032860 이연법인세자산 0
스틸앤리소시즈 032860 자산총계 31,319,838,371
스틸앤리소시즈 032860 유동부채 30,174,144,841
스틸앤리소시즈 032860 단기차입금 0
스틸앤리소시즈 032860 기타유동부채 423,551,674
스틸앤리소시즈 032860 비유동부채 16,845,530,011
스틸앤리소시즈 032860 장기차입금 0
스틸앤리소시즈 032860 부채총계 47,019,674,852
스틸앤리소시즈 032860 자본금 8,534,929,500
스틸앤리소시즈 032860 이익잉여금(결손금) -54,247,438,060
스틸앤리소시즈 032860 자본총계 -15,699,836,481
스틸앤리소시즈 032860 자본과부채총계 31,319,838,371
date : 2016-03-31
GMR 032860 유동자산 34,223,507,051
GMR 032860 현금및현금성자산 1,765,476,500
GMR 032860 매출채권 및
GMR 032860 재고자산 1,349,468,664
GMR 032860 기타유동자산 1,675,175,105
GMR 032860 매각예정비유동자산 24,504,517,710
GMR 032860 비유동자산 262,260,449
GMR 032860 유형자산 134,887,695
GMR 032860 무형자산 2,902,234
GMR 032860 자산총계 34,485,767,500
GMR 032860 유동부채 2,878,634,284
GMR 032860 단기차입금 0
GMR 032860 기타유동부채 1,082,781,687
GMR 032860 비유동부채 4,752,558,353
GMR 032860 장기차입금 0
GMR 032860 부채총계 7,631,192,637
GMR 032860 자본금 29,814,129,500
GMR 032860 이익잉여금(결손금) -29,007,262,256
GMR 032860 자본총계 26,854,574,863
GMR 032860 자본과부채총계 34,485,767,500
date : 2016-06-30
GMR 032860 유동자산 36,319,973,107
GMR 032860 현금및현금성자산 2,416,541,127
GMR 032860 매출채권 및
GMR 032860 재고자산 1,717,745,697
GMR 032860 기타유동자산 3,801,666,557
GMR 032860 매각예정비유동자산 24,502,256,169
GMR 032860 비유동자산 1,139,682,534
GMR 032860 유형자산 110,642,133
GMR 032860 무형자산 1,922,611
GMR 032860 자산총계 37,459,655,641
GMR 032860 유동부채 6,777,952,131
GMR 032860 단기차입금 3,500,000,000
GMR 032860 기타유동부채 1,694,507,920
GMR 032860 비유동부채 4,234,003,976
GMR 032860 장기차입금 0
GMR 032860 부채총계 11,011,956,107
GMR 032860 자본금 29,978,725,000
GMR 032860 이익잉여금(결손금) -29,573,167,365
GMR 032860 자본총계 26,447,699,534
GMR 032860 자본과부채총계 37,459,655,641
date : 2016-09-30
GMR 032860 유동자산 31,577,572,580
GMR 032860 현금및현금성자산 137,499,073
GMR 032860 매출채권 및
GMR 032860 재고자산 717,294,372
GMR 032860 기타유동자산 2,168,737,747
GMR 032860 매각예정비유동자산 18,852,143,749
GMR 032860 비유동자산 7,887,817,789
GMR 032860 유형자산 4,008,312,474
GMR 032860 무형자산 2,654,407
GMR 032860 자산총계 39,465,390,369
GMR 032860 유동부채 8,616,720,915
GMR 032860 단기차입금 6,200,000,000
GMR 032860 기타유동부채 1,109,743,219
GMR 032860 비유동부채 4,283,655,840
GMR 032860 장기차입금 0
GMR 032860 부채총계 12,900,376,755
GMR 032860 자본금 29,978,725,000
GMR 032860 이익잉여금(결손금) -29,451,507,845
GMR 032860 자본총계 26,565,013,614
GMR 032860 자본과부채총계 39,465,390,369
date : 2016-12-31
GMR 032860 유동자산 31,092,646,908
GMR 032860 현금및현금성자산 1,936,367,244
GMR 032860 매출채권 및
GMR 032860 재고자산 334,748,270
GMR 032860 기타유동자산 201,607,879
GMR 032860 매각예정비유동자산 16,093,022,004
GMR 032860 비유동자산 7,566,597,969
GMR 032860 유형자산 3,974,893,390
GMR 032860 무형자산 1,759,271
GMR 032860 자산총계 38,659,244,877
GMR 032860 유동부채 10,350,564,931
GMR 032860 단기차입금 9,494,716,914
GMR 032860 기타유동부채 89,330,343
GMR 032860 비유동부채 4,628,678,914
GMR 032860 장기차입금 0
GMR 032860 부채총계 14,979,243,845
GMR 032860 자본금 29,979,420,000
GMR 032860 이익잉여금(결손금) -32,336,965,427
GMR 032860 자본총계 23,680,001,032
GMR 032860 자본과부채총계 38,659,244,877
date : 2017-03-31
GMR 032860 유동자산 27,699,123,013
GMR 032860 현금및현금성자산 2,860,769,375
GMR 032860 매출채권 및
GMR 032860 재고자산 272,208,350
GMR 032860 기타유동자산 184,405,679
GMR 032860 매각예정비유동자산 14,019,022,004
GMR 032860 비유동자산 7,455,635,481
GMR 032860 유형자산 3,950,312,867
GMR 032860 무형자산 1,594,760
GMR 032860 자산총계 35,154,758,494
GMR 032860 유동부채 6,509,412,759
GMR 032860 단기차입금 5,900,000,000
GMR 032860 유동성장기차입금 0
GMR 032860 기타유동부채 73,253,951
GMR 032860 비유동부채 2,804,977,066
GMR 032860 부채총계 9,314,389,825
GMR 032860 자본금 31,879,420,000
GMR 032860 이익잉여금(결손금) -32,147,945,688
GMR 032860 자본총계 25,840,368,669
GMR 032860 자본과부채총계 35,154,758,494
date : 2017-06-30
GMR 032860 유동자산 29,663,047,724
GMR 032860 현금및현금성자산 3,583,658,733
GMR 032860 매출채권 및
GMR 032860 재고자산 305,374,982
GMR 032860 기타유동자산 88,858,975
GMR 032860 매각예정비유동자산 11,115,036,032
GMR 032860 비유동자산 7,489,803,506
GMR 032860 유형자산 3,922,297,877
GMR 032860 무형자산 1,474,139
GMR 032860 자산총계 37,152,851,230
GMR 032860 유동부채 8,662,080,789
GMR 032860 단기차입금 5,863,608,045
GMR 032860 유동성장기차입금 0
GMR 032860 기타유동부채 67,146,490
GMR 032860 비유동부채 2,745,034,995
