date : 2015-12-31
제이스텍 090470 유동자산 38,767,072,426
제이스텍 090470 현금및현금성자산 10,219,919,234
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 164,429,647
제이스텍 090470 재고자산 574,102,925
제이스텍 090470 비유동자산 4,356,603,765
제이스텍 090470 비유동자산 36,059,084,327
제이스텍 090470 기타비유동금융자산 1,304,282,175
제이스텍 090470 유형자산 29,834,998,662
제이스텍 090470 무형자산 4,304,971,897
제이스텍 090470 이연법인세자산 395,826,593
제이스텍 090470 자산총계 74,826,156,753
제이스텍 090470 유동부채 29,591,139,633
제이스텍 090470 단기차입금 18,050,811,821
제이스텍 090470 기타유동금융부채 369,644,931
제이스텍 090470 당기법인세부채 872,741,369
제이스텍 090470 비유동부채 10,000,000
제이스텍 090470 기타비유동금융부채 10,000,000
제이스텍 090470 부채총계 29,601,139,633
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 34,658,122,814
제이스텍 090470 자본총계 45,225,017,120
제이스텍 090470 자본과부채총계 74,826,156,753
date : 2016-03-31
제이스텍 090470 유동자산 39,926,128,606
제이스텍 090470 현금및현금성자산 7,537,317,591
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 195,307,260
제이스텍 090470 재고자산 4,077,746,428
제이스텍 090470 비유동자산 4,057,088,032
제이스텍 090470 비유동자산 36,596,373,281
제이스텍 090470 기타비유동금융자산 1,742,458,564
제이스텍 090470 유형자산 30,121,244,957
제이스텍 090470 무형자산 4,107,334,424
제이스텍 090470 이연법인세자산 475,330,336
제이스텍 090470 자산총계 76,522,501,887
제이스텍 090470 유동부채 30,745,314,537
제이스텍 090470 단기차입금 17,981,119,592
제이스텍 090470 기타유동금융부채 1,204,854,256
제이스텍 090470 당기법인세부채 896,911,852
제이스텍 090470 비유동부채 10,000,000
제이스텍 090470 기타비유동금융부채 10,000,000
제이스텍 090470 부채총계 30,755,314,537
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 35,200,293,044
제이스텍 090470 자본총계 45,767,187,350
제이스텍 090470 자본과부채총계 76,522,501,887
date : 2016-06-30
제이스텍 090470 유동자산 46,580,900,318
제이스텍 090470 현금및현금성자산 12,034,633,049
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 210,546,496
제이스텍 090470 재고자산 4,471,369,038
제이스텍 090470 비유동자산 4,057,088,032
제이스텍 090470 비유동자산 36,469,061,496
제이스텍 090470 기타비유동금융자산 1,669,954,117
제이스텍 090470 유형자산 30,166,375,173
제이스텍 090470 무형자산 4,077,216,315
제이스텍 090470 이연법인세자산 405,510,891
제이스텍 090470 자산총계 83,049,961,814
제이스텍 090470 유동부채 35,671,576,208
제이스텍 090470 단기차입금 21,564,575,010
제이스텍 090470 기타유동금융부채 364,607,771
제이스텍 090470 당기법인세부채 616,335,371
제이스텍 090470 비유동부채 10,000,000
제이스텍 090470 기타비유동금융부채 10,000,000
제이스텍 090470 부채총계 35,681,576,208
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 36,801,491,300
제이스텍 090470 자본총계 47,368,385,606
제이스텍 090470 자본과부채총계 83,049,961,814
date : 2016-09-30
제이스텍 090470 유동자산 46,034,560,438
제이스텍 090470 현금및현금성자산 5,643,980,585
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 176,244,940
제이스텍 090470 재고자산 1,945,098,933
제이스텍 090470 비유동자산 4,057,088,032
제이스텍 090470 비유동자산 36,774,640,298
제이스텍 090470 기타비유동금융자산 1,645,907,997
제이스텍 090470 유형자산 30,382,307,483
제이스텍 090470 무형자산 4,049,688,729
제이스텍 090470 이연법인세자산 421,731,089
제이스텍 090470 자산총계 82,809,200,736
제이스텍 090470 유동부채 33,257,214,796
제이스텍 090470 단기차입금 18,329,301,767
제이스텍 090470 기타유동금융부채 434,202,943
제이스텍 090470 당기법인세부채 1,007,344,006
제이스텍 090470 비유동부채 10,000,000
제이스텍 090470 기타비유동금융부채 10,000,000
제이스텍 090470 부채총계 33,267,214,796
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 38,975,091,634
제이스텍 090470 자본총계 49,541,985,940
제이스텍 090470 자본과부채총계 82,809,200,736
date : 2016-12-31
제이스텍 090470 유동자산 103,737,571,606
제이스텍 090470 현금및현금성자산 51,396,200,267
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 167,406,861
제이스텍 090470 재고자산 1,335,349,088
제이스텍 090470 비유동자산 0
제이스텍 090470 비유동자산 43,759,564,174
제이스텍 090470 기타비유동금융자산 1,627,257,971
제이스텍 090470 유형자산 33,238,708,142
제이스텍 090470 무형자산 3,931,771,204
제이스텍 090470 이연법인세자산 719,551,614
제이스텍 090470 자산총계 147,497,135,780
제이스텍 090470 유동부채 91,124,784,970
제이스텍 090470 단기차입금 16,017,000,000
제이스텍 090470 기타유동금융부채 956,784,811
제이스텍 090470 당기법인세부채 2,618,824,640
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 91,164,784,970
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 45,765,456,504
제이스텍 090470 자본총계 56,332,350,810
제이스텍 090470 자본과부채총계 147,497,135,780
date : 2017-03-31
제이스텍 090470 유동자산 151,357,708,216
제이스텍 090470 현금및현금성자산 17,344,233,639
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 141,717,556
제이스텍 090470 재고자산 4,653,137,346
제이스텍 090470 비유동자산 0
제이스텍 090470 비유동자산 50,044,052,508
제이스텍 090470 기타비유동금융자산 1,765,491,106
제이스텍 090470 유형자산 39,787,652,018
제이스텍 090470 무형자산 3,842,849,500
제이스텍 090470 이연법인세자산 414,749,991
제이스텍 090470 자산총계 201,401,760,724
제이스텍 090470 유동부채 138,625,333,667
제이스텍 090470 단기차입금 18,810,815,761
제이스텍 090470 기타유동금융부채 1,965,951,330
제이스텍 090470 당기법인세부채 3,023,957,563
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 138,665,333,667
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 52,169,532,751
제이스텍 090470 자본총계 62,736,427,057
제이스텍 090470 자본과부채총계 201,401,760,724
date : 2017-06-30
제이스텍 090470 유동자산 176,921,196,532
제이스텍 090470 현금및현금성자산 22,621,927,800
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 98,545,825
제이스텍 090470 재고자산 10,904,704,486
제이스텍 090470 비유동자산 52,925,188,167
제이스텍 090470 기타비유동금융자산 1,628,836,961
제이스텍 090470 유형자산 41,534,450,980
제이스텍 090470 무형자산 3,933,304,257
제이스텍 090470 이연법인세자산 1,616,251,426
제이스텍 090470 자산총계 229,846,384,699
제이스텍 090470 유동부채 137,484,519,090
제이스텍 090470 단기차입금 15,877,115,533
제이스텍 090470 기타유동금융부채 276,180,907
제이스텍 090470 당기법인세부채 12,158,423,523
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 137,524,519,090
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 이익잉여금(결손금) 81,754,971,303
제이스텍 090470 자본총계 92,321,865,609
제이스텍 090470 자본과부채총계 229,846,384,699
date : 2017-09-30
제이스텍 090470 유동자산 106,605,013,317
제이스텍 090470 현금및현금성자산 41,992,684,143
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 203,110,083
제이스텍 090470 재고자산 13,860,061,599
제이스텍 090470 기타유동자산 6,282,546,743
제이스텍 090470 비유동자산 77,808,352,234
제이스텍 090470 기타비유동금융자산 1,589,827,056
제이스텍 090470 유형자산 66,364,285,406
제이스텍 090470 무형자산 3,941,268,182
제이스텍 090470 이연법인세자산 1,723,092,397
제이스텍 090470 자산총계 184,413,365,551
제이스텍 090470 유동부채 69,363,007,793
제이스텍 090470 단기차입금 5,099,312,415
제이스텍 090470 기타유동금융부채 412,546,727
제이스텍 090470 당기법인세부채 18,696,942,392
제이스텍 090470 기타유동부채 25,483,184,754
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 69,403,007,793
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 자본잉여금 4,161,379,351
제이스텍 090470 이익잉여금(결손금) 104,443,463,452
제이스텍 090470 자본총계 115,010,357,758
제이스텍 090470 자본과부채총계 184,413,365,551
date : 2017-12-31
제이스텍 090470 유동자산 103,664,235,705
제이스텍 090470 현금및현금성자산 57,412,350,506
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 184,833,573
제이스텍 090470 재고자산 14,061,141,194
제이스텍 090470 기타유동자산 2,458,137,940
제이스텍 090470 비유동자산 0
제이스텍 090470 비유동자산 78,324,313,469
제이스텍 090470 기타비유동금융자산 1,337,270,562
제이스텍 090470 유형자산 66,489,945,633
제이스텍 090470 무형자산 3,960,953,592
제이스텍 090470 이연법인세자산 2,368,729,895
제이스텍 090470 자산총계 181,988,549,174
제이스텍 090470 유동부채 52,854,131,758
제이스텍 090470 단기차입금 0
제이스텍 090470 기타유동금융부채 321,937,590
제이스텍 090470 당기법인세부채 22,657,609,808
제이스텍 090470 기타유동부채 14,093,805,520
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 52,894,131,758
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 자본잉여금 4,161,379,351
제이스텍 090470 이익잉여금(결손금) 118,527,523,110
제이스텍 090470 자본총계 129,094,417,416
제이스텍 090470 자본과부채총계 181,988,549,174
date : 2018-03-31
제이스텍 090470 유동자산 98,037,374,299
제이스텍 090470 현금및현금성자산 49,919,198,118
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 157,006,455
제이스텍 090470 재고자산 13,349,565,204
제이스텍 090470 기타유동자산 1,599,646,807
제이스텍 090470 비유동자산 77,016,186,181
제이스텍 090470 기타비유동금융자산 1,053,927,780
제이스텍 090470 유형자산 66,157,797,276
제이스텍 090470 무형자산 3,756,662,890
제이스텍 090470 이연법인세자산 2,052,854,798
제이스텍 090470 자산총계 175,053,560,480
제이스텍 090470 유동부채 49,810,318,892
제이스텍 090470 기타유동금융부채 7,665,324,152
제이스텍 090470 당기법인세부채 21,849,255,895
제이스텍 090470 기타유동부채 11,773,634,605
제이스텍 090470 비유동부채 40,000,000
제이스텍 090470 기타비유동금융부채 40,000,000
제이스텍 090470 부채총계 49,850,318,892
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 자본잉여금 4,161,379,351
제이스텍 090470 이익잉여금(결손금) 114,636,347,282
제이스텍 090470 자본총계 125,203,241,588
제이스텍 090470 자본과부채총계 175,053,560,480
date : 2018-06-30
제이스텍 090470 유동자산 71,908,029,146
제이스텍 090470 현금및현금성자산 16,273,015,913
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 107,335,548
제이스텍 090470 재고자산 14,290,083,071
제이스텍 090470 기타유동자산 2,030,708,226
제이스텍 090470 비유동자산 75,324,316,133
제이스텍 090470 기타비유동금융자산 680,158,423
제이스텍 090470 기타포괄손익-공정가치 측정
제이스텍 090470 유형자산 67,116,982,828
제이스텍 090470 무형자산 3,745,149,615
제이스텍 090470 이연법인세자산 1,955,520,267
제이스텍 090470 자산총계 147,232,345,279
제이스텍 090470 유동부채 20,155,522,151
제이스텍 090470 기타유동금융부채 366,892,011
제이스텍 090470 당기법인세부채 36,724,962
제이스텍 090470 기타유동부채 9,954,933,628
제이스텍 090470 비유동부채 0
제이스텍 090470 기타비유동금융부채 0
제이스텍 090470 부채총계 20,155,522,151
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 자본잉여금 4,161,379,351
제이스텍 090470 이익잉여금(결손금) 116,509,928,822
제이스텍 090470 자본총계 127,076,823,128
제이스텍 090470 자본과부채총계 147,232,345,279
date : 2018-09-30
제이스텍 090470 유동자산 65,986,760,052
제이스텍 090470 현금및현금성자산 22,049,909,479
제이스텍 090470 매출채권 및
제이스텍 090470 기타유동금융자산 68,628,469
제이스텍 090470 재고자산 11,167,140,329
제이스텍 090470 기타유동자산 1,010,302,208
제이스텍 090470 비유동자산 76,088,531,738
제이스텍 090470 기타비유동금융자산 683,164,093
제이스텍 090470 기타포괄손익-공정가치 측정
제이스텍 090470 유형자산 68,126,786,188
제이스텍 090470 무형자산 3,617,646,766
제이스텍 090470 이연법인세자산 1,834,429,691
제이스텍 090470 자산총계 142,075,291,790
제이스텍 090470 유동부채 13,030,090,461
제이스텍 090470 기타유동금융부채 514,092,715
제이스텍 090470 당기법인세부채 76,230,167
제이스텍 090470 기타유동부채 6,074,642,423
제이스텍 090470 비유동부채 0
제이스텍 090470 기타비유동금융부채 0
제이스텍 090470 부채총계 13,030,090,461
제이스텍 090470 자본금 7,298,904,000
제이스텍 090470 자본잉여금 4,161,379,351
